CAMMENU_0EV,‫0EV‬
CAMMENU_100,‫100‬
CAMMENU_10M,‫1.0m‬
CAMMENU_1600,‫1600‬
CAMMENU_200,‫200‬
CAMMENU_30M,‫3.0m‬
CAMMENU_3200,‫3200‬
CAMMENU_400,‫400‬
CAMMENU_70M,‫7.0m‬
CAMMENU_80,‫80‬
CAMMENU_800,‫800‬
CAMMENU_BRK_03EV,‫ BRK±0.3EV‬
CAMMENU_BRK_07EV,‫BRK±0.7EV‬
CAMMENU_BRK_10EV,‫BRK±1.0EV‬
CAMMENU_BURST,‫تتابع‬
CAMMENU_BURST_BRK03EV_GUIDE,‫تصوير 3 صور مع فاصل 0.3 EV‬
CAMMENU_BURST_BRK03EV_GUIDE_2,‫‬
CAMMENU_BURST_BRK07EV_GUIDE,‫تصوير 3 صور مع فاصل 0.7 EV‬
CAMMENU_BURST_BRK07EV_GUIDE_2,‫‬
CAMMENU_BURST_BRK10EV_GUIDE,‫تصوير 3 صور مع فاصل 1.0 EV‬
CAMMENU_BURST_BRK10EV_GUIDE_2,‫‬
CAMMENU_BURST_OFF_GUIDE,‫ إلتقاط صورة واحدة‬
CAMMENU_BURST_OFF_GUIDE_2,‫‬
CAMMENU_BURST_ON_GUIDE,‫تصوير متواصل‬
CAMMENU_BURST_ON_GUIDE_2,‫ عند الاحتفاظ بضغط زر الغالق‬
CAMMENU_CENTER,‫مركزي‬
CAMMENU_CENTERAF,‫AF  المركز‬
CAMMENU_CLOSEEYE,‫مقاومة رمشة العين‬
CAMMENU_CLOSEEYE_AUTO_GUIDE,‫تحليل العيون لتجنب رمشة العين‬
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,‫‬
CAMMENU_CLOSEEYE_OFF_GUIDE,‫ إيقاف تشغيل مقاومة رمشة العين‬
CAMMENU_CLOSEEYE_OFF_GUIDE_2,‫‬
CAMMENU_COLOR,‫وضع الألوان‬
CAMMENU_COLOR_BW,‫أبيض و أسود‬
CAMMENU_COLOR_BW_GUIDE,‫جعل الصور أبيض وأسود‬
CAMMENU_COLOR_BW_GUIDE_2,‫‬
CAMMENU_COLOR_NORMAL_GUIDE,‫تصوير في وضع لون قياسي‬
CAMMENU_COLOR_NORMAL_GUIDE_2,‫‬
CAMMENU_COLOR_SEPIA,‫بني‬
CAMMENU_COLOR_SEPIA_GUIDE,‫محاكاة الألوان في الصور القديمة‬
CAMMENU_COLOR_SEPIA_GUIDE_2,‫‬
CAMMENU_COLOR_VIVID,‫حيوي‬
CAMMENU_COLOR_VIVID_GUIDE,‫ضبط الصورة إلى ألوان عميقة وحيوية‬
CAMMENU_COLOR_VIVID_GUIDE_2,‫‬
CAMMENU_CONTINUOUS,‫مستمر‬
CAMMENU_DRO,‫DRO‬
CAMMENU_DRO_ADV,‫متقدم‬
CAMMENU_DRO_ADV_GUIDE,‫استعادة تفاصيل الظل بدون فقد‬
CAMMENU_DRO_ADV_GUIDE_2,‫الأجزاء المشرقة‬
CAMMENU_DRO_OFF_GUIDE,‫لا استعادة لتفاصيل الظل‬
CAMMENU_DRO_OFF_GUIDE_2,‫‬
CAMMENU_DRO_PLUS,‫DRO plus‬
CAMMENU_DRO_STANDARD_GUIDE,‫استعادة تفاصيل صورة مفقودة في‬
CAMMENU_DRO_STANDARD_GUIDE_2,‫منطقة الظل‬
CAMMENU_DRO_STD,‫DRO standard‬
CAMMENU_EV,‫EV‬
CAMMENU_EV2,‫EV‬
CAMMENU_EV_GUIDE,‫ضبط سطوع الصورة  (＋)‬
CAMMENU_EV_GUIDE2,‫ضبط سطوع الصورة  (＋)‬
CAMMENU_EV_GUIDE2_2,‫واعتامها  (－)‬
CAMMENU_EV_GUIDE_2,‫واعتامها  (－)‬
CAMMENU_FACE,‫تحديد الوجه‬
CAMMENU_FACE_ADULT,‫أولوية البالغين‬
CAMMENU_FACE_ADULT_GUIDE,‫تركيز بؤري مع أولوية على‬
CAMMENU_FACE_ADULT_GUIDE_2,‫أوجه البالغين‬
CAMMENU_FACE_CHILD,‫أولوية الطفل‬
CAMMENU_FACE_CHILD_GUIDE,‫تركيز بؤري مع أولوية على‬
CAMMENU_FACE_CHILD_GUIDE_2,‫أوجه الأطفال‬
CAMMENU_FACE_ON_GUIDE,‫ضبط الأولوية للتركيز البؤري‬
CAMMENU_FACE_ON_GUIDE_2,‫ على أوجه الناس‬
CAMMENU_FACE_TOUCH_GUIDE,‫تنشيط تحديد الوجه‬
CAMMENU_FACE_TOUCH_GUIDE_2,‫ عند لمس الوجه فقط‬
CAMMENU_FLASHLEVEL,‫مستوى فلاش‬
CAMMENU_FLASHLEVEL_DOWN_GUIDE,‫تسجيل بقوة فلاش أقل‬
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,‫‬
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,‫تسجيل بقوة فلاش قياسية‬
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,‫‬
CAMMENU_FLASHLEVEL_UP_GUIDE,‫تسجيل بقوة فلاش أعلى‬
CAMMENU_FLASHLEVEL_UP_GUIDE_2,‫‬
CAMMENU_FLASH_SYNCHRO,‫تزامن بطئ‬
CAMMENU_FOCUS,‫تركيز بؤري‬
CAMMENU_FOUCS_10M_GUIDE,‫يتم ضبط التركيز البؤري‬
CAMMENU_FOUCS_10M_GUIDE_2,‫ على بعد 1.0 م / 3.3 قدم تقريبا‬
CAMMENU_FOUCS_30M_GUIDE,‫يتم ضبط التركيز البؤري‬
CAMMENU_FOUCS_30M_GUIDE_2,‫ على بعد 3.0 م تقريبا‬
CAMMENU_FOUCS_70M_GUIDE,‫يتم ضبط التركيز البؤري‬
CAMMENU_FOUCS_70M_GUIDE_2,‫ على بعد 7.0 م / 23 قدم تقريبا‬
CAMMENU_FOUCS_CENTER_GUIDE,‫تركيز بؤري تلقائي‬
CAMMENU_FOUCS_CENTER_GUIDE_2,‫ على هدف في المنتصف‬
CAMMENU_FOUCS_INFINITY_GUIDE,‫يتم ضبط التركيز البؤري‬
CAMMENU_FOUCS_INFINITY_GUIDE_2,‫ على مسافة غير محددة‬
CAMMENU_FOUCS_MANUAL_GUIDE,‫يتم ضبط التركيز البؤري يدويا‬
CAMMENU_FOUCS_MANUAL_GUIDE_2,‫‬
CAMMENU_FOUCS_MULTI_GUIDE,‫تركيز بؤري تلقائي‬
CAMMENU_FOUCS_MULTI_GUIDE_2,‫في الاطار بأكمله‬
CAMMENU_FOUCS_SPOT_GUIDE,‫تركيز بؤري تلقائي على‬
CAMMENU_FOUCS_SPOT_GUIDE_2,‫نقطة مركزية‬
CAMMENU_FOUCS_TSPOT_GUIDE,‫تركيز بؤري تلقائي بلمس‬
CAMMENU_FOUCS_TSPOT_GUIDE_2,‫أي نقطة على الشاشة‬
CAMMENU_IMAGESIZE,‫حجم الصورة‬
CAMMENU_IMAGESIZE_L,‫كبير‬
CAMMENU_IMAGESIZE_S,‫صغير‬
CAMMENU_INFINITY,‫∞‬
CAMMENU_ISO,‫ISO‬
CAMMENU_ISO_100_GUIDE,‫ضبط الحساسية إلى ISO 100‬
CAMMENU_ISO_100_GUIDE_2,‫‬
CAMMENU_ISO_1600_GUIDE,‫ضبط الحساسية إلى ISO 1600‬
CAMMENU_ISO_1600_GUIDE_2,‫‬
CAMMENU_ISO_200_GUIDE,‫ضبط الحساسية إلى ISO 200‬
CAMMENU_ISO_200_GUIDE_2,‫‬
CAMMENU_ISO_3200_GUIDE,‫ضبط الحساسية إلى ISO 3200‬
CAMMENU_ISO_3200_GUIDE_2,‫‬
CAMMENU_ISO_400_GUIDE,‫ضبط الحساسية إلى ISO 400‬
CAMMENU_ISO_400_GUIDE_2,‫‬
CAMMENU_ISO_64_GUIDE,‫ضبط الحساسية إلى ISO 64‬
CAMMENU_ISO_64_GUIDE_2,‫‬
CAMMENU_ISO_800_GUIDE,‫ضبط الحساسية إلى ISO 800‬
CAMMENU_ISO_800_GUIDE_2,‫‬
CAMMENU_ISO_80_GUIDE,‫ضبط الحساسية إلى ISO 80‬
CAMMENU_ISO_80_GUIDE_2,‫‬
CAMMENU_ISO_AUTO_GUIDE,‫ضبط الحساسية تلقائيا‬
CAMMENU_ISO_AUTO_GUIDE_2,‫‬
CAMMENU_M03EV,‫-0.3EV‬
CAMMENU_M07EV,‫-0.7EV‬
CAMMENU_M10EV,‫-1.0EV‬
CAMMENU_M13EV,‫-1.3EV‬
CAMMENU_M17EV,‫-1.7EV‬
CAMMENU_M20EV,‫-2.0EV‬
CAMMENU_MACRO,‫تكبير‬
CAMMENU_MENU,‫قائمة‬
CAMMENU_METERINGMODE,‫وضع القياس‬
CAMMENU_METERING_CENTER_GUIDE,‫تعريض ضوئي يعتمد على‬
CAMMENU_METERING_CENTER_GUIDE_2,‫السطوع في المنتصف‬
CAMMENU_METERING_MULTI_GUIDE,‫تعريض ضوئي متوازن‬
CAMMENU_METERING_MULTI_GUIDE_2,‫في الاطار بأكمله‬
CAMMENU_METERING_SPOT_GUIDE,‫تعريض ضوئي يعتمد على‬
CAMMENU_METERING_SPOT_GUIDE_2,‫سطوع نقطة مركزية‬
CAMMENU_MINUS,‫－‬
CAMMENU_MULTI,‫متعدد‬
CAMMENU_MULTIAF,‫AF متعدد‬
CAMMENU_NORMAL_CAP,‫ عادي‬
CAMMENU_P03EV,‫+0.3EV‬
CAMMENU_P07EV,‫+0.7EV‬
CAMMENU_P10EV,‫+1.0EV‬
CAMMENU_P13EV,‫+1.3EV‬
CAMMENU_P17EV,‫+1.7EV‬
CAMMENU_P20EV,‫+2.0EV‬
CAMMENU_PLUS,‫＋‬
CAMMENU_RECMODE,‫وضع تسجيل‬
CAMMENU_RECOGNITION,‫تقدير المنظر‬
CAMMENU_RECOGNITION_ADV_GUIDE,‫تسجيل لقطة أخرى تلقائيا‬
CAMMENU_RECOGNITION_ADV_GUIDE2,‫تسجيل لقطة أخرى تلقائيا‬
CAMMENU_RECOGNITION_ADV_GUIDE2_2,‫في الشفق أو إضاءة خلفية‬
CAMMENU_RECOGNITION_ADV_GUIDE_2,‫في الشفق أو إضاءة خلفية‬
CAMMENU_RECOGNITION_AUTO2_GUIDE,‫تصوير بأفضل إعدادات للمنظر‬
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,‫‬
CAMMENU_RECOGNITION_AUTO_GUIDE,‫تسجيل بإعدادات أفضل‬
CAMMENU_RECOGNITION_AUTO_GUIDE_2,‫في الشفق أو إضاءة خلفية‬
CAMMENU_RECOGNITION_OFF_GUIDE,‫ايقاف تشغيل تقدير المنظر‬
CAMMENU_RECOGNITION_OFF_GUIDE_2,‫‬
CAMMENU_REDEYEREDUCTION,‫خفض عين حمراء‬
CAMMENU_REDEYE_FACE_GUIDE,‫خفض تلقائي للعين الحمراء‬
CAMMENU_REDEYE_FACE_GUIDE_2,‫ عند تحديد الأوجه‬
CAMMENU_REDEYE_OFF_GUIDE,‫ إيقاف تشغيل وظيفة خفض‬
CAMMENU_REDEYE_OFF_GUIDE_2,‫العين الحمراء‬
CAMMENU_REDEYE_ON_GUIDE,‫فلاش مسبق لخفض العين الحمراء‬
CAMMENU_REDEYE_ON_GUIDE_2,‫ عند استخدام الفلاش‬
CAMMENU_REMAIN_NUMBER,‫سعة صور تقريبية‬
CAMMENU_REMAIN_TIME,‫وقت متبقي تقريبي‬
CAMMENU_SATURATION_DOWN_GUIDE,‫تصوير صور مع تشبع لون أقل‬
CAMMENU_SATURATION_DOWN_GUIDE_2,‫‬
CAMMENU_SATURATION_NORMAL_GUIDE,‫ضبط تشبع اللون الى عادي‬
CAMMENU_SATURATION_NORMAL_GUIDE_2,‫‬
CAMMENU_SATURATION_UP_GUIDE,‫تصوير صور مع تشبع لون أعلى‬
CAMMENU_SATURATION_UP_GUIDE_2,‫‬
CAMMENU_SELFTIMER,‫مؤقت ذاتي‬
CAMMENU_SELFTIMER_10SEC,‫مؤقت ذاتي 10ث‬
CAMMENU_SELFTIMER_2SEC,‫مؤقت ذاتي 2ث‬
CAMMENU_SELFTIMER_OFF,‫ايقاف مؤقت ذاتي‬
CAMMENU_SETUP,‫ضبط‬
CAMMENU_SETUP_CHANGE_GUIDE,‫ إلى عرض‬
CAMMENU_SETUP_CHANGE_GUIDE_2,‫ إعدادات التسجيل‬
CAMMENU_SHOOTING,‫تسجيل‬
CAMMENU_SIZE_10MEG,‫10M‬
CAMMENU_SIZE_12M_GUIDE,‫للطباعة حتى حجم +A3‬
CAMMENU_SIZE_12M_GUIDE_2,‫‬
CAMMENU_SIZE_16_9,‫16:9‬
CAMMENU_SIZE_16_9_2MEG_GUIDE,‫للعرض على تلفزيون بتحليل عالي‬
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,‫‬
CAMMENU_SIZE_16_9_A3_GUIDE,‫للعرض على تلفزيون بتحليل عالي‬
CAMMENU_SIZE_16_9_A3_GUIDE_2,‫وطباعة حتى حجم A3‬
CAMMENU_SIZE_16_9_A4_GUIDE,‫للعرض على تلفزيون بتحليل عالي‬
CAMMENU_SIZE_16_9_A4_GUIDE_2,‫وطباعة حتى حجم A4‬
CAMMENU_SIZE_16_9_GUIDE,‫تسجيل بنسبة HDTV‬
CAMMENU_SIZE_16_9_GUIDE_2,‫‬
CAMMENU_SIZE_320,‫320‬
CAMMENU_SIZE_320_GUIDE,‫تصوير بحجم صغير‬
CAMMENU_SIZE_320_GUIDE_2,‫كمرفق بريد إلكتروني‬
CAMMENU_SIZE_3MEG,‫3M‬
CAMMENU_SIZE_3M_GUIDE,‫للطباعة حتى حجم 10x15 سم‬
CAMMENU_SIZE_3M_GUIDE_2,‫أو 13x18 سم‬
CAMMENU_SIZE_3_2_8MEG,‫3:2(8M)‬
CAMMENU_SIZE_3_2_GUIDE,‫تصوير بنسبة 3:2‬
CAMMENU_SIZE_3_2_GUIDE_2,‫‬
CAMMENU_SIZE_4_3,‫4:3‬
CAMMENU_SIZE_5MEG,‫5M‬
CAMMENU_SIZE_5M_GUIDE,‫للطباعة حتى حجم A4‬
CAMMENU_SIZE_5M_GUIDE_2,‫‬
CAMMENU_SIZE_640FINE,‫640(دقيق)‬
CAMMENU_SIZE_640FINE_GUIDE,‫تصوير صور متحركة بجودة عالية‬
CAMMENU_SIZE_640FINE_GUIDE_2,‫للعرض على شاشة التلفزيون‬
CAMMENU_SIZE_640STD,‫640(قياسي)‬
CAMMENU_SIZE_640STD_GUIDE,‫تصوير صور متحركة بجودة قياسية‬
CAMMENU_SIZE_640STD_GUIDE_2,‫للعرض على شاشة التلفزيون‬
CAMMENU_SIZE_8M_GUIDE,‫للطباعة حتي حجم A3‬
CAMMENU_SIZE_8M_GUIDE_2,‫‬
CAMMENU_SIZE_HD_2MEG,‫16:9(2M)‬
CAMMENU_SIZE_HD_7MEG,‫16:9(7M)‬
CAMMENU_SIZE_HD_VGA,‫16:9(VGA)‬
CAMMENU_SIZE_VGA,‫VGA‬
CAMMENU_SIZE_VGA_GUIDE,‫تصوير صور بحجم صغير‬
CAMMENU_SIZE_VGA_GUIDE_2,‫كمرفق بريد إلكتروني‬
CAMMENU_SMILE,‫تحديد إبتسامة‬
CAMMENU_SMILESHUTTER_HIGH_GUIDE,‫تصوير مع حساسية عالية‬
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,‫لتحديد الوجه‬
CAMMENU_SMILESHUTTER_LOW_GUIDE,‫تصوير مع حساسية منخفضة‬
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,‫لتحديد الابتسامة‬
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,‫تصوير مع حساسية قياسية‬
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,‫لتحديد الابتسامة‬
CAMMENU_SMILE_DETECTION,‫حساسية تحديد الابتسامة‬
CAMMENU_SPOT,‫نقطة‬
CAMMENU_SPOTAF,‫AF نقطة‬
CAMMENU_STEADYSHOT,‫SteadyShot‬
CAMMENU_STEADYSHOT_CONT_GUIDE,‫تشغيل SteadyShot بصورة دائمة‬
CAMMENU_STEADYSHOT_CONT_GUIDE_2,‫‬
CAMMENU_STEADYSHOT_OFF_GUIDE,‫ إيقاف SteadyShot‬
CAMMENU_STEADYSHOT_OFF_GUIDE_2,‫‬
CAMMENU_STEADYSHOT_SHOOT_GUIDE,‫تشغيل SteadyShot عند ضغط‬
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,‫زر الغالق لمنتصف المسافة‬
CAMMENU_TOUCH,‫ عند اللمس‬
CAMMENU_WATERWB,‫توازن لون أبيض تحت الماء‬
CAMMENU_WATERWB_AUTO_GUIDE,‫ضبط تلقائي لتوازن اللون الأبيض‬
CAMMENU_WATERWB_AUTO_GUIDE_2,‫للتصوير تحت الماء‬
CAMMENU_WATERWB_FLASH_GUIDE,‫يستخدم عند التصوير تحت الماء‬
CAMMENU_WATERWB_FLASH_GUIDE_2,‫باستخدام فلاش‬
CAMMENU_WATERWB_WATER1,‫تحت الماء 1‬
CAMMENU_WATERWB_WATER1_GUIDE,‫يستخدم عند التصوير‬
CAMMENU_WATERWB_WATER1_GUIDE_2,‫في مياه زرقاء‬
CAMMENU_WATERWB_WATER2,‫تحت الماء 2‬
CAMMENU_WATERWB_WATER2_GUIDE,‫يستخدم عند التصوير‬
CAMMENU_WATERWB_WATER2_GUIDE_2,‫في مياه خضراء‬
CAMMENU_WB2,‫توازن أبيض‬
CAMMENU_WB_AUTO_GUIDE,‫ضبط تلقائي للألوان الطبيعية‬
CAMMENU_WB_AUTO_GUIDE_2,‫‬
CAMMENU_WB_CLOUDY,‫مغيم‬
CAMMENU_WB_CLOUDY_GUIDE,‫يستخدم في أيام مغيمة‬
CAMMENU_WB_CLOUDY_GUIDE_2,‫أو في الظل‬
CAMMENU_WB_DAYLIGHT,‫ضوء نهار‬
