CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Série
CAMMENU_BURST_BRK03EV_GUIDE,3 snímky s odstupem 0,3 EV
CAMMENU_BURST_BRK03EV_GUIDE_2,
CAMMENU_BURST_BRK07EV_GUIDE,3 snímky s odstupem 0,7 EV
CAMMENU_BURST_BRK07EV_GUIDE_2,
CAMMENU_BURST_BRK10EV_GUIDE,3 snímky s odstupem 1,0 EV
CAMMENU_BURST_BRK10EV_GUIDE_2,
CAMMENU_BURST_OFF_GUIDE,Jeden snímek při jednom
CAMMENU_BURST_OFF_GUIDE_2,stisknutí spouště
CAMMENU_BURST_ON_GUIDE,Nahrává plynule, když je
CAMMENU_BURST_ON_GUIDE_2,spoušť držena
CAMMENU_CENTER,Střed.
CAMMENU_CENTERAF,Střed AF
CAMMENU_CLOSEEYE,Redukce zavřených očí
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analýza očí pro
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,eliminaci zavřených očí
CAMMENU_CLOSEEYE_OFF_GUIDE,Vypnout redukci
CAMMENU_CLOSEEYE_OFF_GUIDE_2,zavřených očí
CAMMENU_COLOR,Barevný režim
CAMMENU_COLOR_BW,Černobílý
CAMMENU_COLOR_BW_GUIDE,Dělá černobílé snímky
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Snímání ve standardním
CAMMENU_COLOR_NORMAL_GUIDE_2,barevném režimu
CAMMENU_COLOR_SEPIA,Sépie
CAMMENU_COLOR_SEPIA_GUIDE,Simuluje barvy starých
CAMMENU_COLOR_SEPIA_GUIDE_2,fotografií
CAMMENU_COLOR_VIVID,Živý
CAMMENU_COLOR_VIVID_GUIDE,Nastaví barvy na živé a syté
CAMMENU_COLOR_VIVID_GUIDE_2,
CAMMENU_CONTINUOUS,Pokrač.
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Pokročilý
CAMMENU_DRO_ADV_GUIDE,Zobrazí detaily ze stínu,
CAMMENU_DRO_ADV_GUIDE_2,aniž by potlačil dominanty
CAMMENU_DRO_OFF_GUIDE,Nezobrazí detaily ze stínu
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Zobrazí detaily snímku
CAMMENU_DRO_STANDARD_GUIDE_2,nezřetelné ve stínu
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Upravení jasu (＋) snímku
CAMMENU_EV_GUIDE2,Upravení jasu (＋) snímku
CAMMENU_EV_GUIDE2_2,a tmavosti (－)
CAMMENU_EV_GUIDE_2,a tmavosti (－)
CAMMENU_FACE,Detekce obličejů
CAMMENU_FACE_ADULT,Priorita dospělých
CAMMENU_FACE_ADULT_GUIDE,Primárně ostří na
CAMMENU_FACE_ADULT_GUIDE_2,obličeje dospělých
CAMMENU_FACE_CHILD,Priorita dětí
CAMMENU_FACE_CHILD_GUIDE,Primárně ostří na
CAMMENU_FACE_CHILD_GUIDE_2,obličeje dětí
CAMMENU_FACE_ON_GUIDE,Nastaví prioritu ostření
CAMMENU_FACE_ON_GUIDE_2,na obličeje lidí
CAMMENU_FACE_TOUCH_GUIDE,Aktivuje detekci obličeje
CAMMENU_FACE_TOUCH_GUIDE_2,při doteku obličeje
CAMMENU_FLASHLEVEL,Výkon blesku
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Snímání s nižší intenzitou
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,blesku
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Snímání se standardní
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,intenzitou blesku
CAMMENU_FLASHLEVEL_UP_GUIDE,Snímání s vyšší intenzitou
CAMMENU_FLASHLEVEL_UP_GUIDE_2,blesku
CAMMENU_FLASH_SYNCHRO,Pomalá synchro
CAMMENU_FOCUS,Ostření
CAMMENU_FOUCS_10M_GUIDE,Nastavení ostření na
CAMMENU_FOUCS_10M_GUIDE_2,vzdálenost cca 1,0m
CAMMENU_FOUCS_30M_GUIDE,Nastavení ostření na
CAMMENU_FOUCS_30M_GUIDE_2,vzdálenost cca 3,0m
CAMMENU_FOUCS_70M_GUIDE,Nastavení ostření na
CAMMENU_FOUCS_70M_GUIDE_2,vzdálenost cca 7,0m
CAMMENU_FOUCS_CENTER_GUIDE,Automatické ostření
CAMMENU_FOUCS_CENTER_GUIDE_2,na objekt ve středu
CAMMENU_FOUCS_INFINITY_GUIDE,Nastavení ostření na
CAMMENU_FOUCS_INFINITY_GUIDE_2,neomezenou vzdálenost
CAMMENU_FOUCS_MANUAL_GUIDE,Ruční nastavení ostření
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Automatické ostření
CAMMENU_FOUCS_MULTI_GUIDE_2,v celém snímku
CAMMENU_FOUCS_SPOT_GUIDE,Automatické ostření
CAMMENU_FOUCS_SPOT_GUIDE_2,na centrální bod
CAMMENU_FOUCS_TSPOT_GUIDE,Automaticky zaostří dotykem
CAMMENU_FOUCS_TSPOT_GUIDE_2,na nějaký bod na obrazovce
CAMMENU_IMAGESIZE,Velik. snímku
CAMMENU_IMAGESIZE_L,Velká
CAMMENU_IMAGESIZE_S,Malá
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_100_GUIDE_2,100 ISO
CAMMENU_ISO_1600_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_1600_GUIDE_2,1600 ISO
CAMMENU_ISO_200_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_200_GUIDE_2,200 ISO
CAMMENU_ISO_3200_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_3200_GUIDE_2,3200 ISO
CAMMENU_ISO_400_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_400_GUIDE_2,400 ISO
CAMMENU_ISO_64_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_64_GUIDE_2,64 ISO
CAMMENU_ISO_800_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_800_GUIDE_2,800 ISO
CAMMENU_ISO_80_GUIDE,Nastavení citlivosti na
CAMMENU_ISO_80_GUIDE_2,80 ISO
CAMMENU_ISO_AUTO_GUIDE,Automatické nastavení
CAMMENU_ISO_AUTO_GUIDE_2,citlivosti
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Nabídka
CAMMENU_METERINGMODE,Režim měření
CAMMENU_METERING_CENTER_GUIDE,Expozice založena na
CAMMENU_METERING_CENTER_GUIDE_2,jasu středu
CAMMENU_METERING_MULTI_GUIDE,Expozice založena
CAMMENU_METERING_MULTI_GUIDE_2,na celém snímku
CAMMENU_METERING_SPOT_GUIDE,Expozice založena na
CAMMENU_METERING_SPOT_GUIDE_2,jasu centrálního bodu
CAMMENU_MINUS,－
CAMMENU_MULTI,Více
CAMMENU_MULTIAF,Více. AF
CAMMENU_NORMAL_CAP,Normální
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Nahr. režim
CAMMENU_RECOGNITION,Rozpoznání scény
CAMMENU_RECOGNITION_ADV_GUIDE,Autom. udělá snímek navíc
CAMMENU_RECOGNITION_ADV_GUIDE2,Autom. udělá snímek navíc
CAMMENU_RECOGNITION_ADV_GUIDE2_2,za šera nebo v protisvělte
CAMMENU_RECOGNITION_ADV_GUIDE_2,za šera nebo v protisvělte
CAMMENU_RECOGNITION_AUTO2_GUIDE,Snímá s optimálními
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,nastaveními pro scénu
CAMMENU_RECOGNITION_AUTO_GUIDE,Snímá s optimálními nastav.
CAMMENU_RECOGNITION_AUTO_GUIDE_2,za šera nebo v protisvětle
CAMMENU_RECOGNITION_OFF_GUIDE,Rozpoznání scény vypnuto
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Red. červ. očí
CAMMENU_REDEYE_FACE_GUIDE,Auto redukce červených
CAMMENU_REDEYE_FACE_GUIDE_2,očí při detekci obličejů
CAMMENU_REDEYE_OFF_GUIDE,Vypnuta redukce červených
CAMMENU_REDEYE_OFF_GUIDE_2,očí
CAMMENU_REDEYE_ON_GUIDE,Předblesk pro redukci
CAMMENU_REDEYE_ON_GUIDE_2,červených očí při blesku
CAMMENU_REMAIN_NUMBER,Kapac. snímku zhruba
CAMMENU_REMAIN_TIME,Zbýv. doba přibližně
CAMMENU_SATURATION_DOWN_GUIDE,Pořizuje snímky s nižší
CAMMENU_SATURATION_DOWN_GUIDE_2,sytostí barev
CAMMENU_SATURATION_NORMAL_GUIDE,Nastaví sytost barev na
CAMMENU_SATURATION_NORMAL_GUIDE_2,normální
CAMMENU_SATURATION_UP_GUIDE,Pořizuje snímky s vyšší
CAMMENU_SATURATION_UP_GUIDE_2,sytostí barev
CAMMENU_SELFTIMER,Samospoušť
CAMMENU_SELFTIMER_10SEC,Samospoušť 10 s
CAMMENU_SELFTIMER_2SEC,Samospoušť 2 s
CAMMENU_SELFTIMER_OFF,Samospoušť vypnutá
CAMMENU_SETUP,Nastavení
CAMMENU_SETUP_CHANGE_GUIDE,Jdi na obr. nastavení snímku
CAMMENU_SETUP_CHANGE_GUIDE_2,
CAMMENU_SHOOTING,Snímání
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Pro obrázky do A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Pro prohlížení na
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,televizoru HD
CAMMENU_SIZE_16_9_A3_GUIDE,Pro prohlížení na televizoru
CAMMENU_SIZE_16_9_A3_GUIDE_2,HD a tisk až do A3
CAMMENU_SIZE_16_9_A4_GUIDE,Pro prohlížení na televizoru
CAMMENU_SIZE_16_9_A4_GUIDE_2,HD a tisk až do A4
CAMMENU_SIZE_16_9_GUIDE,Snímání v poměru HDTV
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Snímání při malé velikosti
CAMMENU_SIZE_320_GUIDE_2,pro přílohy k e-mailům
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Pro obrázky do 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,nebo 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Snímání v poměru 3:2
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Pro obrázky do A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Lepší)
CAMMENU_SIZE_640FINE_GUIDE,Snímání videa vysoké
CAMMENU_SIZE_640FINE_GUIDE_2,kvality pro zobrazení na TV
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Snímání videa standardní
CAMMENU_SIZE_640STD_GUIDE_2,kvality pro zobrazení na TV
CAMMENU_SIZE_8M_GUIDE,Pro obrázky do A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Snímání při malé velikosti
CAMMENU_SIZE_VGA_GUIDE_2,snímku pro e-mail
CAMMENU_SMILE,Detekce úsměvu
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Snímá s vysokou citlivostí
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,detekce úsměvů
CAMMENU_SMILESHUTTER_LOW_GUIDE,Snímá s nízkou citlivostí
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,detekce úsměvů
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Snímá se standardní citlivostí
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,detekce úsměvů
CAMMENU_SMILE_DETECTION,Citlivost detekce úsměvu
CAMMENU_SPOT,Jednobod.
CAMMENU_SPOTAF,Jednobod. AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot vždy zapnut
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot vypnut
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,Zapnuto SteadyShot při
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,napůl stisknuté spoušti
CAMMENU_TOUCH,Při dotyku
CAMMENU_WATERWB,Podvodní vyvážení bílé
CAMMENU_WATERWB_AUTO_GUIDE,Automatické vyvážení bílé
CAMMENU_WATERWB_AUTO_GUIDE_2,pro snímání pod vodou
CAMMENU_WATERWB_FLASH_GUIDE,Použijte při snímání
CAMMENU_WATERWB_FLASH_GUIDE_2,pod vodou s bleskem
CAMMENU_WATERWB_WATER1,Podvodní 1
CAMMENU_WATERWB_WATER1_GUIDE,Použijte při snímání
CAMMENU_WATERWB_WATER1_GUIDE_2,v modré vodě
CAMMENU_WATERWB_WATER2,Podvodní 2
CAMMENU_WATERWB_WATER2_GUIDE,Použijte při snímání
CAMMENU_WATERWB_WATER2_GUIDE_2,v zelené vodě
CAMMENU_WB2,Vyváž. bílé
CAMMENU_WB_AUTO_GUIDE,Automatická úprava pro
CAMMENU_WB_AUTO_GUIDE_2,přirozené barvy
CAMMENU_WB_CLOUDY,Oblačno
CAMMENU_WB_CLOUDY_GUIDE,Pro zamračené dny nebo stín
CAMMENU_WB_CLOUDY_GUIDE_2,
CAMMENU_WB_DAYLIGHT,Denní světlo
CAMMENU_WB_DAYLIGHT_GUIDE,Pro slunečné venkovní scény
CAMMENU_WB_DAYLIGHT_GUIDE_2,nebo noční scény
CAMMENU_WB_FLASH,Blesk
CAMMENU_WB_FLASH_GUIDE,Pro snímání s bleskem
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,Zářivky 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Pro bílé zářivkové světlo
CAMMENU_WB_FLUORESCENT1_GUIDE_2,
CAMMENU_WB_FLUORESCENT2,Zářivky 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Pro normální zářivkové světlo
CAMMENU_WB_FLUORESCENT2_GUIDE_2,
CAMMENU_WB_FLUORESCENT3,Zářivky 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Pro denní bílé zářivkové
CAMMENU_WB_FLUORESCENT3_GUIDE_2,světlo
CAMMENU_WB_INCANDESCENT,Žárovky
CAMMENU_WB_INCANDESCENT_GUIDE,Pro žárovky nebo
CAMMENU_WB_INCANDESCENT_GUIDE_2,světlo videa
CAMMODE_AUTO,Automatické nastav.
CAMMODE_AUTO_GUIDE,Ke snímání
CAMMODE_AUTO_GUIDE_2,s automat. nastav.
CAMMODE_BEACH,Pláž
CAMMODE_BEACH_GUIDE,Snímek u vody
CAMMODE_BEACH_GUIDE_2,s bohatou modrou
CAMMODE_COOKING,Jídlo
CAMMODE_COOKING_GUIDE,Atraktivní snímky jídla
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Snadné fotografování
CAMMODE_EASY_GUIDE,Plně automatické snímání
CAMMODE_EASY_GUIDE_2,se zjednodušeným displejem
CAMMODE_FIREWORKS,Ohňostroj
CAMMODE_FIREWORKS_GUIDE,Pořízení snímků
CAMMODE_FIREWORKS_GUIDE_2,zářících ohňostrojů
CAMMODE_HIGHSENSITIVITY,Vysoká citlivost
CAMMODE_HIGHSENSITIVITY_GUIDE,Bez blesku za nízkého
CAMMODE_HIGHSENSITIVITY_GUIDE_2,osvětlení s redukcí rozmaz.
CAMMODE_HIGHSPEEDSHUTTER,Rychlá závěrka
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Snímek pohybu
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,se zachycenou akcí
CAMMODE_LANDSCAPE,Krajina
CAMMODE_LANDSCAPE_GUIDE,Snímek krajiny se
CAMMODE_LANDSCAPE_GUIDE_2,zaostřením do dálky
CAMMODE_MOVIE,Režim videa
CAMMODE_MOVIE_GUIDE,Záznam videoklipu
CAMMODE_MOVIE_GUIDE_2,se zvukem
CAMMODE_PAUTO,Automat. program
CAMMODE_PAUTO_GUIDE,Automat. expozice
CAMMODE_PAUTO_GUIDE_2,s možn. nastavením
CAMMODE_SNOW,Sníh
CAMMODE_SNOW_GUIDE,Sněhově bílá scéna,
CAMMODE_SNOW_GUIDE_2,jasná
CAMMODE_SOFTSNAP,Zamlžení
