CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,Ambil gambar berterusan
CAMMENU_BURST_BRK03EV_GUIDE,Ambil 3 gambar dengan
CAMMENU_BURST_BRK03EV_GUIDE_2,0.3 EV berasingan
CAMMENU_BURST_BRK07EV_GUIDE,Ambil 3 gambar dengan
CAMMENU_BURST_BRK07EV_GUIDE_2,0.7 EV berasingan
CAMMENU_BURST_BRK10EV_GUIDE,Ambil 3 gambar dengan
CAMMENU_BURST_BRK10EV_GUIDE_2,1.0 EV berasingan
CAMMENU_BURST_OFF_GUIDE,Ambil gambar tunggal
CAMMENU_BURST_OFF_GUIDE_2,
CAMMENU_BURST_ON_GUIDE,Ambil gambar bertrusan bila
CAMMENU_BURST_ON_GUIDE_2,butang pngatup terus ditekan
CAMMENU_CENTER,Tengah
CAMMENU_CENTERAF,AF Tengah
CAMMENU_CLOSEEYE,Mengelak mata tertutup
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analisasi mata utk mengelak
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,mata tertutup
CAMMENU_CLOSEEYE_OFF_GUIDE,Padam fungsi Mengelak mata
CAMMENU_CLOSEEYE_OFF_GUIDE_2,tertutup
CAMMENU_COLOR,Mod Warna
CAMMENU_COLOR_BW,Hitam Putih
CAMMENU_COLOR_BW_GUIDE,Buat imej hitam putih
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Ambil gambar dalam mod
CAMMENU_COLOR_NORMAL_GUIDE_2,warna standard
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,tukar warna ke mod gambar
CAMMENU_COLOR_SEPIA_GUIDE_2,lama
CAMMENU_COLOR_VIVID,Warna Terang
CAMMENU_COLOR_VIVID_GUIDE,Tetap imej ke warna tua dan
CAMMENU_COLOR_VIVID_GUIDE_2,warna terang
CAMMENU_CONTINUOUS,Berterusan
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Termaju
CAMMENU_DRO_ADV_GUIDE,Dapatkn balik butiran
CAMMENU_DRO_ADV_GUIDE_2,tanpa hilang penyerlahan
CAMMENU_DRO_OFF_GUIDE,Tidak boleh dapatkan butiran
CAMMENU_DRO_OFF_GUIDE_2,bayangan
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Dapatkan balik butiran imej
CAMMENU_DRO_STANDARD_GUIDE_2,dalam kawasan bayangan
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Laras keterangan (＋)
CAMMENU_EV_GUIDE2,Laras keterangan (＋)
CAMMENU_EV_GUIDE2_2,dan kegelapan imej (－)
CAMMENU_EV_GUIDE_2,dan kegelapan imej (－)
CAMMENU_FACE,Pengesanan muka
CAMMENU_FACE_ADULT,Keutamaan pd dewasa
CAMMENU_FACE_ADULT_GUIDE,Fokus dengan keutamaan
CAMMENU_FACE_ADULT_GUIDE_2,pada muka dewasa
CAMMENU_FACE_CHILD,Keutamaan pd kanak-kanak
CAMMENU_FACE_CHILD_GUIDE,Fokus dengan keutamaan
CAMMENU_FACE_CHILD_GUIDE_2,pada muka kanak-kanak
CAMMENU_FACE_ON_GUIDE,Utamakan fokus pada muka
CAMMENU_FACE_ON_GUIDE_2,
CAMMENU_FACE_TOUCH_GUIDE,Aktifkan pengesanan muka
CAMMENU_FACE_TOUCH_GUIDE_2,hanya apabila muka disentuh
CAMMENU_FLASHLEVEL,Tahap Denyar
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Ambil gambar dgn terangnya
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,denyar yg lbh rendah
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Ambil gambar dengan
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,terangnya denyar biasa
CAMMENU_FLASHLEVEL_UP_GUIDE,Ambil gambar dengan
CAMMENU_FLASHLEVEL_UP_GUIDE_2,terangnya denyar lebih tinggi
CAMMENU_FLASH_SYNCHRO,Segerak Pelahan
CAMMENU_FOCUS,Fokus
CAMMENU_FOUCS_10M_GUIDE,Tetap fokus jauh lebih
CAMMENU_FOUCS_10M_GUIDE_2,kurang 1.0 m
CAMMENU_FOUCS_30M_GUIDE,Tetap fokus jauh lebih
CAMMENU_FOUCS_30M_GUIDE_2,kurang 3.0 m
CAMMENU_FOUCS_70M_GUIDE,Tetap fokus jauh lebih
CAMMENU_FOUCS_70M_GUIDE_2,kurang 7.0 m
CAMMENU_FOUCS_CENTER_GUIDE,Auto fokus pada subjek
CAMMENU_FOUCS_CENTER_GUIDE_2,di tengah
CAMMENU_FOUCS_INFINITY_GUIDE,Tetap fokus pada jarak tanpa
CAMMENU_FOUCS_INFINITY_GUIDE_2,batas
CAMMENU_FOUCS_MANUAL_GUIDE,Secara manual tetap fokus
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Auto fokus  sepanjang
CAMMENU_FOUCS_MULTI_GUIDE_2,bingkai
CAMMENU_FOUCS_SPOT_GUIDE,Auto fokus  pada titik tengah
CAMMENU_FOUCS_SPOT_GUIDE_2,
CAMMENU_FOUCS_TSPOT_GUIDE,Fokus auto dgn menyentuh
CAMMENU_FOUCS_TSPOT_GUIDE_2,mana-mana titik pada skrin
CAMMENU_IMAGESIZE,Saiz Imej
CAMMENU_IMAGESIZE_L,Besar
CAMMENU_IMAGESIZE_S,Kecil
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Tetapkan sensitiviti pada
CAMMENU_ISO_100_GUIDE_2,ISO 100
CAMMENU_ISO_1600_GUIDE,Tetapkan sensitiviti pada
CAMMENU_ISO_1600_GUIDE_2,ISO 1600
CAMMENU_ISO_200_GUIDE,Tetapkan sensitiviti pada
CAMMENU_ISO_200_GUIDE_2,ISO 200
CAMMENU_ISO_3200_GUIDE,Tetapkan sensitiviti pada
CAMMENU_ISO_3200_GUIDE_2,ISO 3200
CAMMENU_ISO_400_GUIDE,Tetapkan sensitiviti pada
CAMMENU_ISO_400_GUIDE_2,ISO 400
CAMMENU_ISO_64_GUIDE,Tetap sensitiviti pada
CAMMENU_ISO_64_GUIDE_2,ISO 64
CAMMENU_ISO_800_GUIDE,Tetapkan sensitiviti pada
CAMMENU_ISO_800_GUIDE_2,ISO 800
CAMMENU_ISO_80_GUIDE,Tetapkan sensitiviti pada
CAMMENU_ISO_80_GUIDE_2,ISO 80
CAMMENU_ISO_AUTO_GUIDE,Penyelaras sensitiviti
CAMMENU_ISO_AUTO_GUIDE_2,automatik
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Mod meter
CAMMENU_METERING_CENTER_GUIDE,Pendedahan berasas
CAMMENU_METERING_CENTER_GUIDE_2,keterangan tengah
CAMMENU_METERING_MULTI_GUIDE,Pendedahan berasas
CAMMENU_METERING_MULTI_GUIDE_2,keseluruh bingkai
CAMMENU_METERING_SPOT_GUIDE,Pendedahan berasas
CAMMENU_METERING_SPOT_GUIDE_2,keterangan titik tengah
CAMMENU_MINUS,－
CAMMENU_MULTI,Berbilang
CAMMENU_MULTIAF,AFBrblng
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,Mod RAKAM
CAMMENU_RECOGNITION,Pengecaman Adegan
CAMMENU_RECOGNITION_ADV_GUIDE,Ambil satu atau lbh gmb auto
CAMMENU_RECOGNITION_ADV_GUIDE2,Ambil satu atau lbh gmb auto
CAMMENU_RECOGNITION_ADV_GUIDE2_2,dlm samar atau lampu blkng
CAMMENU_RECOGNITION_ADV_GUIDE_2,dlm samar atau lampu blkng
CAMMENU_RECOGNITION_AUTO2_GUIDE,Ambil gambar dgn seting
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,optimum untuk adegan
CAMMENU_RECOGNITION_AUTO_GUIDE,Ambil dgn seting optimum
CAMMENU_RECOGNITION_AUTO_GUIDE_2,dlm samar atau lampu blkng
CAMMENU_RECOGNITION_OFF_GUIDE,Padamkan Pengecaman
CAMMENU_RECOGNITION_OFF_GUIDE_2,Adegan
CAMMENU_REDEYEREDUCTION,Pengurangan Mata Merah
CAMMENU_REDEYE_FACE_GUIDE,Auto kurangkan mata merah
CAMMENU_REDEYE_FACE_GUIDE_2,apabila muka dikesan
CAMMENU_REDEYE_OFF_GUIDE,Padamkan Pengurangan mata
CAMMENU_REDEYE_OFF_GUIDE_2,merah dimatikan
CAMMENU_REDEYE_ON_GUIDE,Pradenyar pengurangan mata
CAMMENU_REDEYE_ON_GUIDE_2,merah ketika guna denyar
CAMMENU_REMAIN_NUMBER,Lebih Kurang Kapasiti Imej
CAMMENU_REMAIN_TIME,Lebih Kurang MasaTinggal
CAMMENU_SATURATION_DOWN_GUIDE,Ambil imej dengan tingkat
CAMMENU_SATURATION_DOWN_GUIDE_2,kepekatn warna lebih rendah
CAMMENU_SATURATION_NORMAL_GUIDE,Tetapkn tingkat kepekatn kpd
CAMMENU_SATURATION_NORMAL_GUIDE_2,Normal
CAMMENU_SATURATION_UP_GUIDE,Ambil imej dengan tingkat
CAMMENU_SATURATION_UP_GUIDE_2,kepekatan warna lebih tinggi
CAMMENU_SELFTIMER,Pemasa Kendiri
CAMMENU_SELFTIMER_10SEC,Pemasa Kendiri 10 Saat
CAMMENU_SELFTIMER_2SEC,Pemasa Kendiri 2 Saat
CAMMENU_SELFTIMER_OFF,Pemasa Kendiri Dipadamkan
CAMMENU_SETUP,Pemasangan
CAMMENU_SETUP_CHANGE_GUIDE,Ke memapar seting ambil
CAMMENU_SETUP_CHANGE_GUIDE_2,gambar
CAMMENU_SHOOTING,Mengambil gambar
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Untuk cetakan sehingga A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Untuk melihat pada HDTV
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Untuk melihat pada HDTV
CAMMENU_SIZE_16_9_A3_GUIDE_2,dan pncetakan sehingga A3
CAMMENU_SIZE_16_9_A4_GUIDE,Untuk melihat pada HDTV
CAMMENU_SIZE_16_9_A4_GUIDE_2,dan pncetakan sehingga A4
CAMMENU_SIZE_16_9_GUIDE,Ambil gambar dalam ratio
CAMMENU_SIZE_16_9_GUIDE_2,aspek HDTV
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Ambil gambar saiz kecil
CAMMENU_SIZE_320_GUIDE_2,untuk emel lampiran
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Untuk cetakan sehingga
CAMMENU_SIZE_3M_GUIDE_2,10x15 cm atau 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Ambil gambar dlm nisbah
CAMMENU_SIZE_3_2_GUIDE_2,aspek 3:2
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Untuk cetakan sehingga A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Halus)
CAMMENU_SIZE_640FINE_GUIDE,Ambil wayang kualiti tinggi
CAMMENU_SIZE_640FINE_GUIDE_2,untuk paparan di TV
CAMMENU_SIZE_640STD,640(Biasa)
CAMMENU_SIZE_640STD_GUIDE,Ambil wayang kualiti biasa
CAMMENU_SIZE_640STD_GUIDE_2,untuk paparan di TV
CAMMENU_SIZE_8M_GUIDE,Untuk cetakan sehingga A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Ambil gambar pada saiz imej
CAMMENU_SIZE_VGA_GUIDE_2,kecil untuk lampiran emel
CAMMENU_SMILE,Pengesanan Senyum
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Ambil gambar dgn sensitiviti
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,tinggi pengesanan senyum
CAMMENU_SMILESHUTTER_LOW_GUIDE,Ambil gambar dgn sensitiviti
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,pengesanan senyum
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Ambil gambar dgn sensitiviti
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,piawaian pngesanan senyum
CAMMENU_SMILE_DETECTION,Sensitiviti Kesan Senyum
CAMMENU_SPOT,Bintik
CAMMENU_SPOTAF,AF Bintik
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot sentiasa
CAMMENU_STEADYSHOT_CONT_GUIDE_2,dihidupkan
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot Dipadamkan
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot hidup bila butang
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,pengatup ditekan separuh
CAMMENU_TOUCH,Apabila disentuh
CAMMENU_WATERWB,Imbangan Putih Dalam Air
CAMMENU_WATERWB_AUTO_GUIDE,Auto laras imbangan putih
CAMMENU_WATERWB_AUTO_GUIDE_2,untuk ambil gambar dalam air
CAMMENU_WATERWB_FLASH_GUIDE,Gunakn bila ambil gambar
CAMMENU_WATERWB_FLASH_GUIDE_2,dlm air menggunakan denyar
CAMMENU_WATERWB_WATER1,Dalam air 1
CAMMENU_WATERWB_WATER1_GUIDE,Gunakan apabila ambil
CAMMENU_WATERWB_WATER1_GUIDE_2,gambar dalam air biru
CAMMENU_WATERWB_WATER2,Dalam air 2
CAMMENU_WATERWB_WATER2_GUIDE,Gunakan apabila ambil
CAMMENU_WATERWB_WATER2_GUIDE_2,gambar dalam air hijau
CAMMENU_WB2,Imbangan Putih
CAMMENU_WB_AUTO_GUIDE,Auto laras untuk warna
CAMMENU_WB_AUTO_GUIDE_2,semula jadi
CAMMENU_WB_CLOUDY,Mendung
CAMMENU_WB_CLOUDY_GUIDE,Guna pada hari mendung
CAMMENU_WB_CLOUDY_GUIDE_2,atau tempat teduh
CAMMENU_WB_DAYLIGHT,Siang Hari
CAMMENU_WB_DAYLIGHT_GUIDE,Untuk kegunaan ketika adegn
CAMMENU_WB_DAYLIGHT_GUIDE_2,luar atau pandangn mlm
CAMMENU_WB_FLASH,Denyar
CAMMENU_WB_FLASH_GUIDE,Guna apabila ambil gambar
CAMMENU_WB_FLASH_GUIDE_2,dengan denyar
CAMMENU_WB_FLUORESCENT1,Lampu Pendarfluor 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Guna di bawah lampu
CAMMENU_WB_FLUORESCENT1_GUIDE_2,pendarfluor putih
CAMMENU_WB_FLUORESCENT2,Lampu Pendarfluor 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Guna di bawah lampu
CAMMENU_WB_FLUORESCENT2_GUIDE_2,pendarfluor putih biasa
CAMMENU_WB_FLUORESCENT3,Lampu Pendarfluor 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Guna di bawah hari lampu
CAMMENU_WB_FLUORESCENT3_GUIDE_2,pendarfluor putih biasa
CAMMENU_WB_INCANDESCENT,Pijar
CAMMENU_WB_INCANDESCENT_GUIDE,Guna di bawah lampu
CAMMENU_WB_INCANDESCENT_GUIDE_2,pendarfluor atau cahayavideo
CAMMODE_AUTO,Auto Pelarasan
CAMMODE_AUTO_GUIDE,Mengambil gambar dengan
CAMMODE_AUTO_GUIDE_2,seting otomatik
CAMMODE_BEACH,Pantai
CAMMODE_BEACH_GUIDE,Menangkap gambar adegan
CAMMODE_BEACH_GUIDE_2,sisi air dengan warna biruan
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Ambil gambar makanan
CAMMODE_COOKING_GUIDE_2,dengan menarik
CAMMODE_EASY,Ambil gambar dgn mudah
CAMMODE_EASY_GUIDE,AmbilGambarAutoSpnuhnya
CAMMODE_EASY_GUIDE_2,dgn paparan dipermudahkan
CAMMODE_FIREWORKS,Bunga api
CAMMODE_FIREWORKS_GUIDE,Ambil gambar bunga api
CAMMODE_FIREWORKS_GUIDE_2,dalam semua keindahannya
CAMMODE_HIGHSENSITIVITY,Sensitiviti Tinggi
CAMMODE_HIGHSENSITIVITY_GUIDE,Tngkp gmbar tnpa dnyar dlm
CAMMODE_HIGHSENSITIVITY_GUIDE_2,cahyakurang&kurangknkabur
CAMMODE_HIGHSPEEDSHUTTER,Pengatup Kelajuan Tinggi
