CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,ถ่ายต่อเนื่อง
CAMMENU_BURST_BRK03EV_GUIDE,ถ่าย 3 ภาพ โดยมีระดับแสง
CAMMENU_BURST_BRK03EV_GUIDE_2,ห่างกัน 0.3EV
CAMMENU_BURST_BRK07EV_GUIDE,ถ่าย 3 ภาพ โดยมีระดับแสง
CAMMENU_BURST_BRK07EV_GUIDE_2,ห่างกัน 0.7EV
CAMMENU_BURST_BRK10EV_GUIDE,ถ่าย 3 ภาพ โดยมีระดับแสง
CAMMENU_BURST_BRK10EV_GUIDE_2,ห่างกัน 1.0EV
CAMMENU_BURST_OFF_GUIDE,ถ่ายภาพเดียวต่อการกดปุ่ม
CAMMENU_BURST_OFF_GUIDE_2,ชัตเตอร์หนึ่งครั้ง
CAMMENU_BURST_ON_GUIDE,ถ่ายภาพต่อเนื่องตลอดเวลา
CAMMENU_BURST_ON_GUIDE_2,ที่กดปุ่มชัตเตอร์
CAMMENU_CENTER,กลางภาพ
CAMMENU_CENTERAF,AF เฉลี่ยกลาง
CAMMENU_CLOSEEYE,ลดการกะพริบตา
CAMMENU_CLOSEEYE_AUTO_GUIDE,วิเคราะห์ภาพดวงตา
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,เพื่อหลีกเลี่ยงตาที่ปิดอยู่
CAMMENU_CLOSEEYE_OFF_GUIDE,ปิดระบบลดการกะพริบตา
CAMMENU_CLOSEEYE_OFF_GUIDE_2,
CAMMENU_COLOR,โหมดสี
CAMMENU_COLOR_BW,ขาวดำ
CAMMENU_COLOR_BW_GUIDE,ปรับให้เป็นภาพขาวดำ
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,ถ่ายภาพโดยใช้โหมดสีปกติ
CAMMENU_COLOR_NORMAL_GUIDE_2,
CAMMENU_COLOR_SEPIA,ซีเปีย
CAMMENU_COLOR_SEPIA_GUIDE,จำลองสีของภาพถ่ายแบบโบราณ
CAMMENU_COLOR_SEPIA_GUIDE_2,
CAMMENU_COLOR_VIVID,สดใส
CAMMENU_COLOR_VIVID_GUIDE,ปรับภาพให้มีสีที่ลึกและสดใส
CAMMENU_COLOR_VIVID_GUIDE_2,
CAMMENU_CONTINUOUS,ตั้งตลอด
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,ขั้นสูง
CAMMENU_DRO_ADV_GUIDE,แก้ไขรายละเอียดในเงามืดโดย
CAMMENU_DRO_ADV_GUIDE_2,รักษารายละเอียดบริเวณสว่าง
CAMMENU_DRO_OFF_GUIDE,ไม่ทำการแก้ไขรายละเอียด
CAMMENU_DRO_OFF_GUIDE_2,ในเงามืด
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,แก้ไขรายละเอียดภาพที่สูญเสีย
CAMMENU_DRO_STANDARD_GUIDE_2,ไปในบริเวณเงามืด
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,ปรับความสว่าง (＋) และ
CAMMENU_EV_GUIDE2,ปรับความสว่าง (＋) และ
CAMMENU_EV_GUIDE2_2,ความมืด (－) ของภาพ
CAMMENU_EV_GUIDE_2,ความมืด (－) ของภาพ
CAMMENU_FACE,ค้นหาภาพใบหน้า
CAMMENU_FACE_ADULT,ให้ความสำคัญกับผู้ใหญ่
CAMMENU_FACE_ADULT_GUIDE,โฟกัสโดยให้ความสำคัญกับ
CAMMENU_FACE_ADULT_GUIDE_2,ใบหน้าของผู้ใหญ่ก่อน
CAMMENU_FACE_CHILD,ให้ความสำคัญกับเด็ก
CAMMENU_FACE_CHILD_GUIDE,โฟกัสโดยให้ความสำคัญกับ
CAMMENU_FACE_CHILD_GUIDE_2,ใบหน้าของเด็กก่อน
CAMMENU_FACE_ON_GUIDE,ตั้งค่าให้ทำการโฟกัส
CAMMENU_FACE_ON_GUIDE_2,บนใบหน้าบุคคลก่อน
CAMMENU_FACE_TOUCH_GUIDE,ใช้ระบบค้นหาใบหน้า
CAMMENU_FACE_TOUCH_GUIDE_2,เฉพาะเมื่อสัมผัสบนภาพใบหน้า
CAMMENU_FLASHLEVEL,ระดับแฟลช
CAMMENU_FLASHLEVEL_DOWN_GUIDE,ถ่ายภาพโดยใช้ความสว่างแฟลช
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,ต่ำกว่าปกติ
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,ถ่ายภาพโดยใช้ความสว่างแฟลช
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,ปกติ
CAMMENU_FLASHLEVEL_UP_GUIDE,ถ่ายภาพโดยใช้ความสว่างแฟลช
CAMMENU_FLASHLEVEL_UP_GUIDE_2,สูงกว่าปกติ
CAMMENU_FLASH_SYNCHRO,ชัตเตอร์ช้า
CAMMENU_FOCUS,โฟกัส
CAMMENU_FOUCS_10M_GUIDE,ตั้งโฟกัสไว้ที่ระยะประมาณ
CAMMENU_FOUCS_10M_GUIDE_2,1.0 ม.
CAMMENU_FOUCS_30M_GUIDE,ตั้งโฟกัสไว้ที่ระยะประมาณ
CAMMENU_FOUCS_30M_GUIDE_2,3.0 ม.
CAMMENU_FOUCS_70M_GUIDE,ตั้งโฟกัสไว้ที่ระยะประมาณ
CAMMENU_FOUCS_70M_GUIDE_2,7.0 ม.
CAMMENU_FOUCS_CENTER_GUIDE,ปรับโฟกัสอัตโนมัติ
CAMMENU_FOUCS_CENTER_GUIDE_2,บนวัตถุที่อยู่กลางภาพ
CAMMENU_FOUCS_INFINITY_GUIDE,ตั้งโฟกัสไว้ที่ระยะอนันต์
CAMMENU_FOUCS_INFINITY_GUIDE_2,
CAMMENU_FOUCS_MANUAL_GUIDE,ปรับโฟกัสเอง
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,ปรับโฟกัสอัตโนมัติ
CAMMENU_FOUCS_MULTI_GUIDE_2,โดยดูจากทั้งภาพ
CAMMENU_FOUCS_SPOT_GUIDE,ปรับโฟกัสอัตโนมัติ
CAMMENU_FOUCS_SPOT_GUIDE_2,ณ จุดตรงกลางภาพ
CAMMENU_FOUCS_TSPOT_GUIDE,ปรับโฟกัสอัตโนมัติโดย
CAMMENU_FOUCS_TSPOT_GUIDE_2,แตะที่ตำแหน่งใดๆบนหน้าจอ
CAMMENU_IMAGESIZE,ขนาดภาพ
CAMMENU_IMAGESIZE_L,ใหญ่
CAMMENU_IMAGESIZE_S,เล็ก
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 100
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 1600
CAMMENU_ISO_1600_GUIDE_2,
CAMMENU_ISO_200_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 200
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 3200
CAMMENU_ISO_3200_GUIDE_2,
CAMMENU_ISO_400_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 400
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 64
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 800
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,ตั้งค่าความไวแสงไว้ที่ ISO 80
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,ปรับความไวแสงโดยอัตโนมัติ
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,มาโคร
CAMMENU_MENU,เมนู
CAMMENU_METERINGMODE,โหมดวัดแสง
CAMMENU_METERING_CENTER_GUIDE,ปรับระดับแสงตามความสว่าง
CAMMENU_METERING_CENTER_GUIDE_2,บริเวณกลางภาพ
CAMMENU_METERING_MULTI_GUIDE,ปรับระดับแสงโดยรักษาสมดุล
CAMMENU_METERING_MULTI_GUIDE_2,ของทั้งภาพ
CAMMENU_METERING_SPOT_GUIDE,ปรับระดับแสงตามความสว่าง
CAMMENU_METERING_SPOT_GUIDE_2,ของจุดตรงกลางภาพ
CAMMENU_MINUS,－
CAMMENU_MULTI,หลายจุด
CAMMENU_MULTIAF,AF หลายจุด
CAMMENU_NORMAL_CAP,ปกติ
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,โหมดถ่ายภาพ
CAMMENU_RECOGNITION,ระบบจำแนกบรรยากาศ
CAMMENU_RECOGNITION_ADV_GUIDE,ถ่ายภาพกลางคืนหรือภาพ
CAMMENU_RECOGNITION_ADV_GUIDE2,ถ่ายภาพกลางคืนหรือภาพ
CAMMENU_RECOGNITION_ADV_GUIDE2_2,ย้อนแสง อีก 1 ภาพโดยอัตโนมัติ
CAMMENU_RECOGNITION_ADV_GUIDE_2,ย้อนแสง อีก 1 ภาพโดยอัตโนมัติ
CAMMENU_RECOGNITION_AUTO2_GUIDE,ถ่ายภาพด้วยการตั้งค่าที่
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,เหมาะสมกับบรรยากาศที่สุด
CAMMENU_RECOGNITION_AUTO_GUIDE,ถ่ายภาพกลางคืนหรือภาพ
CAMMENU_RECOGNITION_AUTO_GUIDE_2,ย้อนแสง ฯลฯ ด้วยค่าที่เหมาะสม
CAMMENU_RECOGNITION_OFF_GUIDE,ปิดระบบจำแนกบรรยากาศ
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,ลดตาแดง
CAMMENU_REDEYE_FACE_GUIDE,ใช้ระบบลดตาแดงโดยอัตโนมัติ
CAMMENU_REDEYE_FACE_GUIDE_2,เมื่อตรวจพบภาพใบหน้า
CAMMENU_REDEYE_OFF_GUIDE,ปิดระบบลดตาแดง
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,ยิงแฟลชล่วงหน้าเพื่อลดตาแดง
CAMMENU_REDEYE_ON_GUIDE_2,เมื่อถ่ายภาพโดยใช้แฟลช
CAMMENU_REMAIN_NUMBER,ประมาณความจุภาพ
CAMMENU_REMAIN_TIME,เวลาที่เหลือ
CAMMENU_SATURATION_DOWN_GUIDE,ถ่ายภาพโดยลดความเข้มสี
CAMMENU_SATURATION_DOWN_GUIDE_2,
CAMMENU_SATURATION_NORMAL_GUIDE,ใช้ความเข้มสีปกติ
CAMMENU_SATURATION_NORMAL_GUIDE_2,
CAMMENU_SATURATION_UP_GUIDE,ถ่ายภาพโดยเพิ่มความเข้มของสี
CAMMENU_SATURATION_UP_GUIDE_2,
CAMMENU_SELFTIMER,ตั้งเวลา
CAMMENU_SELFTIMER_10SEC,ตั้งเวลา 10 วินาที
CAMMENU_SELFTIMER_2SEC,ตั้งเวลา 2 วินาที
CAMMENU_SELFTIMER_OFF,ไม่ใช้ระบบตั้งเวลา
CAMMENU_SETUP,ตั้งค่า
CAMMENU_SETUP_CHANGE_GUIDE,ไปยังหน้าจอตั้งค่าถ่ายภาพ
CAMMENU_SETUP_CHANGE_GUIDE_2,
CAMMENU_SHOOTING,ถ่ายภาพ
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,สำหรับพิมพ์ที่ขนาดสูงสุด A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,สำหรับรับชมภาพด้วย
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,HDTV
CAMMENU_SIZE_16_9_A3_GUIDE,สำหรับรับชมด้วย HDTV และ
CAMMENU_SIZE_16_9_A3_GUIDE_2,พิมพ์ถึงขนาด A3
CAMMENU_SIZE_16_9_A4_GUIDE,สำหรับรับชมด้วย HDTV
CAMMENU_SIZE_16_9_A4_GUIDE_2,และพิมพ์ถึงขนาด A4
CAMMENU_SIZE_16_9_GUIDE,ถ่ายภาพที่อัตราส่วน HDTV
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,บันทึกภาพขนาดเล็กสำหรับ
CAMMENU_SIZE_320_GUIDE_2,ส่งแนบไปกับ e-mail
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,สำหรับพิมพ์ที่ขนาดใหญ่สุด
CAMMENU_SIZE_3M_GUIDE_2,10x15 ซม หรือ 13x18 ซม
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,ถ่ายภาพที่อัตราส่วน 3:2
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,สำหรับพิมพ์ที่ขนาดใหญ่สุด A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640 (ละเอียด)
CAMMENU_SIZE_640FINE_GUIDE,ถ่ายภาพเคลื่อนไหวคุณภาพสูง
CAMMENU_SIZE_640FINE_GUIDE_2,สำหรับแสดงบนหน้าจอทีวี
CAMMENU_SIZE_640STD,640 (ปกติ)
CAMMENU_SIZE_640STD_GUIDE,ถ่ายภาพเคลื่อนไหวคุณภาพปกติ
CAMMENU_SIZE_640STD_GUIDE_2,สำหรับแสดงบนหน้าจอทีวี
CAMMENU_SIZE_8M_GUIDE,สำหรับพิมพ์ที่ขนาดใหญ่สุด A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,ถ่ายภาพที่ขนาดเล็กสำหรับ
CAMMENU_SIZE_VGA_GUIDE_2,ส่งแนบไปกับ e-mail
CAMMENU_SMILE,ค้นหารอยยิ้ม
CAMMENU_SMILESHUTTER_HIGH_GUIDE,ถ่ายภาพโดยใช้การค้นหารอยยิ้ม
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,ความไวสูง
CAMMENU_SMILESHUTTER_LOW_GUIDE,ถ่ายภาพโดยใช้การค้นหารอยยิ้ม
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,ความไวต่ำ
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,ถ่ายภาพโดยใช้การค้นหารอยยิ้ม
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,ความไวปกติ
CAMMENU_SMILE_DETECTION,ความไวตรวจสอบรอยยิ้ม
CAMMENU_SPOT,จุดเดียว
CAMMENU_SPOTAF,AF แบบจุด
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,เปิดใช้ระบบ SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE_2,ตลอดเวลา
CAMMENU_STEADYSHOT_OFF_GUIDE,ปิดระบบ SteadyShot
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,เปิดระบบ SteadyShot เมื่อ
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,กดปุ่มชัตเตอร์ครึ่งหนึ่ง
CAMMENU_TOUCH,เมื่อถูกสัมผัส
CAMMENU_WATERWB,อุณหภูมิสีใต้น้ำ
CAMMENU_WATERWB_AUTO_GUIDE,ปรับอุณหภูมิสีโดยอัตโนมัติ
CAMMENU_WATERWB_AUTO_GUIDE_2,สำหรับถ่ายภาพใต้น้ำ
CAMMENU_WATERWB_FLASH_GUIDE,ใช้สำหรับถ่ายภาพใต้น้ำ
CAMMENU_WATERWB_FLASH_GUIDE_2,โดยใช้แฟลช
CAMMENU_WATERWB_WATER1,ใต้น้ำ 1
CAMMENU_WATERWB_WATER1_GUIDE,ใช้สำหรับถ่ายภาพใต้น้ำ
CAMMENU_WATERWB_WATER1_GUIDE_2,สีโทนน้ำเงิน
CAMMENU_WATERWB_WATER2,ใต้น้ำ 2
CAMMENU_WATERWB_WATER2_GUIDE,ใช้สำหรับถ่ายภาพใต้น้ำ
CAMMENU_WATERWB_WATER2_GUIDE_2,สีโทนเขียว
CAMMENU_WB2,อุณหภูมิสี
CAMMENU_WB_AUTO_GUIDE,ปรับอัตโนมัติเพื่อให้ได้สี
CAMMENU_WB_AUTO_GUIDE_2,ที่เป็นธรรมชาติ
CAMMENU_WB_CLOUDY,แสงแดดมีเมฆ
CAMMENU_WB_CLOUDY_GUIDE,ใช้สำหรับวันที่มีเมฆหรือ
CAMMENU_WB_CLOUDY_GUIDE_2,ใต้ร่มเงา
CAMMENU_WB_DAYLIGHT,แสงแดดกลางวัน
