CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,連写
CAMMENU_BURST_BRK03EV_GUIDE,0.3EVごとに異なる露出で
CAMMENU_BURST_BRK03EV_GUIDE_2,3枚撮影します
CAMMENU_BURST_BRK07EV_GUIDE,0.7EVごとに異なる露出で
CAMMENU_BURST_BRK07EV_GUIDE_2,3枚撮影します
CAMMENU_BURST_BRK10EV_GUIDE,1.0EVごとに異なる露出で
CAMMENU_BURST_BRK10EV_GUIDE_2,3枚撮影します
CAMMENU_BURST_OFF_GUIDE,シャッターを押すと
CAMMENU_BURST_OFF_GUIDE_2,1枚撮影します
CAMMENU_BURST_ON_GUIDE,シャッターを押し続ける間
CAMMENU_BURST_ON_GUIDE_2,連写します
CAMMENU_CENTER,中央重点
CAMMENU_CENTERAF,中央重点AF
CAMMENU_CLOSEEYE,目つぶり軽減
CAMMENU_CLOSEEYE_AUTO_GUIDE,顔検出機能を使用時目つぶり
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,軽減機能を有効にします
CAMMENU_CLOSEEYE_OFF_GUIDE,目つぶり軽減機能を
CAMMENU_CLOSEEYE_OFF_GUIDE_2,使いません
CAMMENU_COLOR,カラーモード
CAMMENU_COLOR_BW,モノトーン
CAMMENU_COLOR_BW_GUIDE,白黒の画像にします
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,標準のカラーモードで
CAMMENU_COLOR_NORMAL_GUIDE_2,撮影します
CAMMENU_COLOR_SEPIA,セピア
CAMMENU_COLOR_SEPIA_GUIDE,古い写真のような色合いに
CAMMENU_COLOR_SEPIA_GUIDE_2,します
CAMMENU_COLOR_VIVID,ビビッド
CAMMENU_COLOR_VIVID_GUIDE,鮮やかで深い色合いにします
CAMMENU_COLOR_VIVID_GUIDE_2,
CAMMENU_CONTINUOUS,常時
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,アドバンス
CAMMENU_DRO_ADV_GUIDE,高度な処理で画像の明暗の
CAMMENU_DRO_ADV_GUIDE_2,差を最適に補正します
CAMMENU_DRO_OFF_GUIDE,画像の明暗の差の
CAMMENU_DRO_OFF_GUIDE_2,自動補正を行いません
CAMMENU_DRO_PLUS,プラス
CAMMENU_DRO_STANDARD_GUIDE,画像の明暗の差を
CAMMENU_DRO_STANDARD_GUIDE_2,自動補正します
CAMMENU_DRO_STD,スタンダード
CAMMENU_EV,EV
CAMMENU_EV2,明るさ(EV補正)
CAMMENU_EV_GUIDE,露出(明るさ)の明(＋)
CAMMENU_EV_GUIDE2,明るさ(露出)の明(＋)
CAMMENU_EV_GUIDE2_2,暗(－)を補正します
CAMMENU_EV_GUIDE_2,暗(－)を補正します
CAMMENU_FACE,顔検出
CAMMENU_FACE_ADULT,おとな優先
CAMMENU_FACE_ADULT_GUIDE,検出した顔から、
CAMMENU_FACE_ADULT_GUIDE_2,おとな優先でピント合わせ
CAMMENU_FACE_CHILD,こども優先
CAMMENU_FACE_CHILD_GUIDE,検出した顔から、
CAMMENU_FACE_CHILD_GUIDE_2,こども優先でピント合わせ
CAMMENU_FACE_ON_GUIDE,人物の顔に、ピントなどが
CAMMENU_FACE_ON_GUIDE_2,優先的に合います
CAMMENU_FACE_TOUCH_GUIDE,顔をタッチしたときのみ
CAMMENU_FACE_TOUCH_GUIDE_2,顔検出が働きます
CAMMENU_FLASHLEVEL,フラッシュレベル
CAMMENU_FLASHLEVEL_DOWN_GUIDE,フラッシュの光量を
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,減らします
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,フラッシュの光量を
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,標準にします
CAMMENU_FLASHLEVEL_UP_GUIDE,フラッシュの光量を
CAMMENU_FLASHLEVEL_UP_GUIDE_2,増やします
CAMMENU_FLASH_SYNCHRO,スローシンクロ
CAMMENU_FOCUS,フォーカス
CAMMENU_FOUCS_10M_GUIDE,1.0m付近にピントを
CAMMENU_FOUCS_10M_GUIDE_2,合わせます
CAMMENU_FOUCS_30M_GUIDE,3.0m付近にピントを
CAMMENU_FOUCS_30M_GUIDE_2,合わせます
CAMMENU_FOUCS_70M_GUIDE,7.0m付近にピントを
CAMMENU_FOUCS_70M_GUIDE_2,合わせます
CAMMENU_FOUCS_CENTER_GUIDE,画面中央付近で
CAMMENU_FOUCS_CENTER_GUIDE_2,自動ピント合わせします
CAMMENU_FOUCS_INFINITY_GUIDE,無限遠にピントを合わせます
CAMMENU_FOUCS_INFINITY_GUIDE_2,
CAMMENU_FOUCS_MANUAL_GUIDE,手動でピント合わせします
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,画面全体で
CAMMENU_FOUCS_MULTI_GUIDE_2,自動ピント合わせします
CAMMENU_FOUCS_SPOT_GUIDE,画面中央の1点で
CAMMENU_FOUCS_SPOT_GUIDE_2,自動ピント合わせします
CAMMENU_FOUCS_TSPOT_GUIDE,画面の好きな1点を選んで
CAMMENU_FOUCS_TSPOT_GUIDE_2,自動ピント合わせします
CAMMENU_IMAGESIZE,画像サイズ
CAMMENU_IMAGESIZE_L,大
CAMMENU_IMAGESIZE_S,小
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,感度をISO100に設定します
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,感度をISO1600に設定します
CAMMENU_ISO_1600_GUIDE_2,
CAMMENU_ISO_200_GUIDE,感度をISO200に設定します
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,感度をISO3200に設定します
CAMMENU_ISO_3200_GUIDE_2,
CAMMENU_ISO_400_GUIDE,感度をISO400に設定します
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,感度をISO64に設定します
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,感度をISO800に設定します
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,感度をISO80に設定します
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,感度を自動調整します
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,マクロ
CAMMENU_MENU,メニュー
CAMMENU_METERINGMODE,測光モード
CAMMENU_METERING_CENTER_GUIDE,画面中央付近の明るさで
CAMMENU_METERING_CENTER_GUIDE_2,露出を決定します
CAMMENU_METERING_MULTI_GUIDE,画面全体のバランスで
CAMMENU_METERING_MULTI_GUIDE_2,露出を決定します
CAMMENU_METERING_SPOT_GUIDE,画面中央の1点の明るさで
CAMMENU_METERING_SPOT_GUIDE_2,露出を決定します
CAMMENU_MINUS,－
CAMMENU_MULTI,マルチ
CAMMENU_MULTIAF,マルチAF
CAMMENU_NORMAL_CAP,通常撮影
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,撮影モード
CAMMENU_RECOGNITION,おまかせシーン認識
CAMMENU_RECOGNITION_ADV_GUIDE,逆光や夜景などで自動的に
CAMMENU_RECOGNITION_ADV_GUIDE2,シーンに最適な設定で撮影
CAMMENU_RECOGNITION_ADV_GUIDE2_2,逆光や夜景ではもう1枚撮影
CAMMENU_RECOGNITION_ADV_GUIDE_2,もう１枚撮影します
CAMMENU_RECOGNITION_AUTO2_GUIDE,シーンに合わせて
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,最適な設定で撮影します
CAMMENU_RECOGNITION_AUTO_GUIDE,逆光や夜景などで
CAMMENU_RECOGNITION_AUTO_GUIDE_2,最適な設定で撮影します
CAMMENU_RECOGNITION_OFF_GUIDE,シーン認識を行いません
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,赤目軽減
CAMMENU_REDEYE_FACE_GUIDE,顔検出機能を使用時
CAMMENU_REDEYE_FACE_GUIDE_2,自動で赤目軽減を行います
CAMMENU_REDEYE_OFF_GUIDE,赤目軽減機能を使いません
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,フラッシュ撮影時、予備発光
CAMMENU_REDEYE_ON_GUIDE_2,して赤目を軽減します
CAMMENU_REMAIN_NUMBER,撮影可能枚数
CAMMENU_REMAIN_TIME,撮影可能時間
CAMMENU_SATURATION_DOWN_GUIDE,画像を落ち着いた
CAMMENU_SATURATION_DOWN_GUIDE_2,色合いにします
CAMMENU_SATURATION_NORMAL_GUIDE,画像の鮮やかさを
CAMMENU_SATURATION_NORMAL_GUIDE_2,標準にします
CAMMENU_SATURATION_UP_GUIDE,画像を鮮やかな
CAMMENU_SATURATION_UP_GUIDE_2,色合いにします
CAMMENU_SELFTIMER,セルフタイマー
CAMMENU_SELFTIMER_10SEC,セルフタイマー10秒
CAMMENU_SELFTIMER_2SEC,セルフタイマー2秒
CAMMENU_SELFTIMER_OFF,セルフタイマー切
CAMMENU_SETUP,セットアップ
CAMMENU_SETUP_CHANGE_GUIDE,撮影設定画面に切り替わり
CAMMENU_SETUP_CHANGE_GUIDE_2,ます
CAMMENU_SHOOTING,撮影時
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,A3ノビまでの印刷に
CAMMENU_SIZE_12M_GUIDE_2,適したサイズで撮影します
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,ハイビジョン対応テレビ
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,での鑑賞に適しています
CAMMENU_SIZE_16_9_A3_GUIDE,ハイビジョンテレビ表示や
CAMMENU_SIZE_16_9_A3_GUIDE_2,A3までの印刷に適切
CAMMENU_SIZE_16_9_A4_GUIDE,ハイビジョンテレビ表示や
CAMMENU_SIZE_16_9_A4_GUIDE_2,A4までの印刷に適切
CAMMENU_SIZE_16_9_GUIDE,ハイビジョン対応テレビの
CAMMENU_SIZE_16_9_GUIDE_2,縦横比で撮影します
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Eメール添付に適した
CAMMENU_SIZE_320_GUIDE_2,小さいサイズで撮影します
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,L/2L判までの印刷に
CAMMENU_SIZE_3M_GUIDE_2,適したサイズで撮影します
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,縦横比3:2で撮影します
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,A4までの印刷に
CAMMENU_SIZE_5M_GUIDE_2,適したサイズで撮影します
CAMMENU_SIZE_640FINE,640(ファイン)
CAMMENU_SIZE_640FINE_GUIDE,テレビに適したサイズに
CAMMENU_SIZE_640FINE_GUIDE_2,高画質で撮影します
CAMMENU_SIZE_640STD,640(スタンダード)
CAMMENU_SIZE_640STD_GUIDE,テレビに適したサイズに
CAMMENU_SIZE_640STD_GUIDE_2,標準画質で撮影します
CAMMENU_SIZE_8M_GUIDE,A3までの印刷に
CAMMENU_SIZE_8M_GUIDE_2,適したサイズで撮影します
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Eメール添付に適した
CAMMENU_SIZE_VGA_GUIDE_2,小さいサイズで撮影します
CAMMENU_SMILE,スマイル検出
CAMMENU_SMILESHUTTER_HIGH_GUIDE,スマイル検出感度を
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,高くします
CAMMENU_SMILESHUTTER_LOW_GUIDE,スマイル検出感度を
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,低くします
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,スマイル検出感度を
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,標準にします
CAMMENU_SMILE_DETECTION,スマイル検出感度
CAMMENU_SPOT,スポット
CAMMENU_SPOTAF,スポットAF
CAMMENU_STEADYSHOT,手ブレ補正
CAMMENU_STEADYSHOT_CONT_GUIDE,常に手ブレ補正します
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,手ブレ補正を使いません
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,シャッターを半押しすると
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,手ブレ補正が働きます
CAMMENU_TOUCH,タッチ時
CAMMENU_WATERWB,水中ホワイトバランス
CAMMENU_WATERWB_AUTO_GUIDE,水中で自然な色合いに
CAMMENU_WATERWB_AUTO_GUIDE_2,なるよう自動調整します
CAMMENU_WATERWB_FLASH_GUIDE,水中でのフラッシュ撮影時
CAMMENU_WATERWB_FLASH_GUIDE_2,に使用します
CAMMENU_WATERWB_WATER1,水中１
CAMMENU_WATERWB_WATER1_GUIDE,青色の強い水中での
CAMMENU_WATERWB_WATER1_GUIDE_2,撮影に使用します
CAMMENU_WATERWB_WATER2,水中２
CAMMENU_WATERWB_WATER2_GUIDE,緑色の強い水中での
CAMMENU_WATERWB_WATER2_GUIDE_2,撮影に使用します
CAMMENU_WB2,色合い(ホワイトバランス）
CAMMENU_WB_AUTO_GUIDE,自然な色合いになるよう
CAMMENU_WB_AUTO_GUIDE_2,自動調整します
CAMMENU_WB_CLOUDY,曇天
CAMMENU_WB_CLOUDY_GUIDE,曇天や日陰
CAMMENU_WB_CLOUDY_GUIDE_2,での撮影に使用します
CAMMENU_WB_DAYLIGHT,太陽光
CAMMENU_WB_DAYLIGHT_GUIDE,晴天の屋外/夕景/夜景
CAMMENU_WB_DAYLIGHT_GUIDE_2,などの撮影に使用します
CAMMENU_WB_FLASH,フラッシュ
CAMMENU_WB_FLASH_GUIDE,フラッシュ撮影時に
CAMMENU_WB_FLASH_GUIDE_2,使用します
CAMMENU_WB_FLUORESCENT1,蛍光灯１
CAMMENU_WB_FLUORESCENT1_GUIDE,白色蛍光灯の下
CAMMENU_WB_FLUORESCENT1_GUIDE_2,での撮影に使用します
CAMMENU_WB_FLUORESCENT2,蛍光灯２
CAMMENU_WB_FLUORESCENT2_GUIDE,昼白色蛍光灯の下
CAMMENU_WB_FLUORESCENT2_GUIDE_2,での撮影に使用します
CAMMENU_WB_FLUORESCENT3,蛍光灯３
CAMMENU_WB_FLUORESCENT3_GUIDE,昼光色蛍光灯の下
CAMMENU_WB_FLUORESCENT3_GUIDE_2,での撮影に使用します
CAMMENU_WB_INCANDESCENT,電球
CAMMENU_WB_INCANDESCENT_GUIDE,白熱電球や、ビデオライト
CAMMENU_WB_INCANDESCENT_GUIDE_2,での撮影に使用します
CAMMODE_AUTO,オート撮影
CAMMODE_AUTO_GUIDE,カメラまかせで簡単に撮影
CAMMODE_AUTO_GUIDE_2,
CAMMODE_BEACH,ビーチ
CAMMODE_BEACH_GUIDE,海や湖畔など水の青さを
CAMMODE_BEACH_GUIDE_2,鮮やかに撮影
CAMMODE_COOKING,料理
CAMMODE_COOKING_GUIDE,料理をきれいに撮影
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,かんたん撮影
CAMMODE_EASY_GUIDE,見やすい表示で
CAMMODE_EASY_GUIDE_2,おまかせ撮影
CAMMODE_FIREWORKS,打ち上げ花火
CAMMODE_FIREWORKS_GUIDE,打ち上げ花火を
CAMMODE_FIREWORKS_GUIDE_2,きれいに撮影
CAMMODE_HIGHSENSITIVITY,高感度
CAMMODE_HIGHSENSITIVITY_GUIDE,ブレを軽減しフラッシュを
CAMMODE_HIGHSENSITIVITY_GUIDE_2,使わず自然な雰囲気で撮影
CAMMODE_HIGHSPEEDSHUTTER,高速シャッター
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,明るい場所で動きのある
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,被写体を撮影
CAMMODE_LANDSCAPE,風景
CAMMODE_LANDSCAPE_GUIDE,遠景にピントを合わせ
CAMMODE_LANDSCAPE_GUIDE_2,風景などを撮影
CAMMODE_MOVIE,動画撮影
CAMMODE_MOVIE_GUIDE,音声付の動画を撮影
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,プログラムオート撮影
CAMMODE_PAUTO_GUIDE,多彩な設定ができる
CAMMODE_PAUTO_GUIDE_2,オート撮影
CAMMODE_SNOW,スノー
CAMMODE_SNOW_GUIDE,白い風景を明るく撮影
CAMMODE_SNOW_GUIDE_2,
CAMMODE_SOFTSNAP,ソフトスナップ
CAMMODE_SOFTSNAP_GUIDE,人物や花などを優しく
CAMMODE_SOFTSNAP_GUIDE_2,柔らかな雰囲気で撮影
CAMMODE_TWILIGHT,夜景
CAMMODE_TWILIGHTPORTRAIT,夜景&人物
CAMMODE_TWILIGHTPORTRAIT_GUIDE,フラッシュを使い人物と
