CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Sorozatkép
CAMMENU_BURST_BRK03EV_GUIDE,3 képet fényképez 0,3 EV
CAMMENU_BURST_BRK03EV_GUIDE_2,különbséggel
CAMMENU_BURST_BRK07EV_GUIDE,3 képet fényképez 0,7 EV
CAMMENU_BURST_BRK07EV_GUIDE_2,különbséggel
CAMMENU_BURST_BRK10EV_GUIDE,3 képet fényképez 1,0 EV
CAMMENU_BURST_BRK10EV_GUIDE_2,különbséggel
CAMMENU_BURST_OFF_GUIDE,Egy képet készít.
CAMMENU_BURST_OFF_GUIDE_2,
CAMMENU_BURST_ON_GUIDE,Folyamatosan fényképez ex-
CAMMENU_BURST_ON_GUIDE_2,ponáló gombot nyomva tartv.
CAMMENU_CENTER,Közép
CAMMENU_CENTERAF,Közép AF
CAMMENU_CLOSEEYE,Csukott szem csökkentés
CAMMENU_CLOSEEYE_AUTO_GUIDE,Vizsgálja a szemeket, hogy
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,elkerülje a csukott szemet.
CAMMENU_CLOSEEYE_OFF_GUIDE,Kikapcsolja a
CAMMENU_CLOSEEYE_OFF_GUIDE_2,Csukott szem csökkentést
CAMMENU_COLOR,Szín üzemmód
CAMMENU_COLOR_BW,FF
CAMMENU_COLOR_BW_GUIDE,Fekete-fehérré teszi
CAMMENU_COLOR_BW_GUIDE_2,a fényképeket
CAMMENU_COLOR_NORMAL_GUIDE,Normál szín üzemmódban
CAMMENU_COLOR_NORMAL_GUIDE_2,fényképez
CAMMENU_COLOR_SEPIA,Szépia
CAMMENU_COLOR_SEPIA_GUIDE,Színeket szimulál a
CAMMENU_COLOR_SEPIA_GUIDE_2,régi fotókon
CAMMENU_COLOR_VIVID,Élő
CAMMENU_COLOR_VIVID_GUIDE,Mély és élénk színűre
CAMMENU_COLOR_VIVID_GUIDE_2,állítja a fényképet
CAMMENU_CONTINUOUS,Folyamatos
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Megnövelt
CAMMENU_DRO_ADV_GUIDE,Árnyékolt részletek vissza-
CAMMENU_DRO_ADV_GUIDE_2,állítás kifehérítés nélkül
CAMMENU_DRO_OFF_GUIDE,Nem állítja vissza az
CAMMENU_DRO_OFF_GUIDE_2,árnyékolt részleteket
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Visszaállítja a képnek az ár-
CAMMENU_DRO_STANDARD_GUIDE_2,nyékban elveszett részleteit
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Beállítja a fénykép fényessé-
CAMMENU_EV_GUIDE2,Beállítja a fénykép fényessé-
CAMMENU_EV_GUIDE2_2,gét (＋) és sötétségét (－)
CAMMENU_EV_GUIDE_2,gét (＋) és sötétségét (－)
CAMMENU_FACE,Arcfelismerés
CAMMENU_FACE_ADULT,Felnőtt elsőbbség
CAMMENU_FACE_ADULT_GUIDE,Elsősorban felnőttek
CAMMENU_FACE_ADULT_GUIDE_2,arcára fókuszál.
CAMMENU_FACE_CHILD,Gyermek elsőbbség
CAMMENU_FACE_CHILD_GUIDE,Elsősorban gyerekek
CAMMENU_FACE_CHILD_GUIDE_2,arcára fókuszál.
CAMMENU_FACE_ON_GUIDE,Elsősorban az emberi
CAMMENU_FACE_ON_GUIDE_2,arcokra fókuszál.
CAMMENU_FACE_TOUCH_GUIDE,Az arc felismerést csak egy
CAMMENU_FACE_TOUCH_GUIDE_2,arc megérintésével aktiválja.
CAMMENU_FLASHLEVEL,Vakuszint
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Fényképezés alacsonyabb
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,vaku intenzitással
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Fényképezés normál
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,vaku intenzitással
CAMMENU_FLASHLEVEL_UP_GUIDE,Fényképezés magasabb
CAMMENU_FLASHLEVEL_UP_GUIDE_2,vaku intenzitással
CAMMENU_FLASH_SYNCHRO,Lassú szinkron
CAMMENU_FOCUS,Fókusz
CAMMENU_FOUCS_10M_GUIDE,Kb. 1,0 m távolságra
CAMMENU_FOUCS_10M_GUIDE_2,fókuszál
CAMMENU_FOUCS_30M_GUIDE,Kb. 3,0 m távolságra
CAMMENU_FOUCS_30M_GUIDE_2,fókuszál
CAMMENU_FOUCS_70M_GUIDE,Kb. 7,0 m távolságra
CAMMENU_FOUCS_70M_GUIDE_2,fókuszál
CAMMENU_FOUCS_CENTER_GUIDE,Automatikus fókusz
CAMMENU_FOUCS_CENTER_GUIDE_2,középen lévő céltárgyra
CAMMENU_FOUCS_INFINITY_GUIDE,Végtelen távolságra fókuszál
CAMMENU_FOUCS_INFINITY_GUIDE_2,
CAMMENU_FOUCS_MANUAL_GUIDE,Manuálisan állítja be
CAMMENU_FOUCS_MANUAL_GUIDE_2,a fókuszt
CAMMENU_FOUCS_MULTI_GUIDE,Automatikus fókusz
CAMMENU_FOUCS_MULTI_GUIDE_2,mindenütt a képkockán
CAMMENU_FOUCS_SPOT_GUIDE,Automatikus fókusz
CAMMENU_FOUCS_SPOT_GUIDE_2,egy középső pontra
CAMMENU_FOUCS_TSPOT_GUIDE,Automatikusan fókuszál
CAMMENU_FOUCS_TSPOT_GUIDE_2,a képernyő megérintésekor.
CAMMENU_IMAGESIZE,Képméret
CAMMENU_IMAGESIZE_L,Nagy
CAMMENU_IMAGESIZE_S,Kicsi
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_100_GUIDE_2,ISO 100-ra
CAMMENU_ISO_1600_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_1600_GUIDE_2,ISO 1600-ra
CAMMENU_ISO_200_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_200_GUIDE_2,ISO 200-ra
CAMMENU_ISO_3200_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_3200_GUIDE_2,ISO 3200-ra
CAMMENU_ISO_400_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_400_GUIDE_2,ISO 400-ra
CAMMENU_ISO_64_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_64_GUIDE_2,ISO 64-ra
CAMMENU_ISO_800_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_800_GUIDE_2,ISO 800-ra
CAMMENU_ISO_80_GUIDE,Beállítja az érzékenységet
CAMMENU_ISO_80_GUIDE_2,ISO 80-ra
CAMMENU_ISO_AUTO_GUIDE,Automatikusan beállítja
CAMMENU_ISO_AUTO_GUIDE_2,az érzékenységet
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makró
CAMMENU_MENU,Menü
CAMMENU_METERINGMODE,Fénymérési mód
CAMMENU_METERING_CENTER_GUIDE,Középső fényességen
CAMMENU_METERING_CENTER_GUIDE_2,alapuló expozíció
CAMMENU_METERING_MULTI_GUIDE,Expozíció mindenütt kie-
CAMMENU_METERING_MULTI_GUIDE_2,gyensúlyozott a képkockán
CAMMENU_METERING_SPOT_GUIDE,Középső pont fényességén
CAMMENU_METERING_SPOT_GUIDE_2,alapuló expozíció
CAMMENU_MINUS,－
CAMMENU_MULTI,Több
CAMMENU_MULTIAF,Több AF
CAMMENU_NORMAL_CAP,Normál
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,FELV. ümód
CAMMENU_RECOGNITION,Színhely felismerés
CAMMENU_RECOGNITION_ADV_GUIDE,Autom. még egy képet készít
CAMMENU_RECOGNITION_ADV_GUIDE2,Autom. még egy képet készít
CAMMENU_RECOGNITION_ADV_GUIDE2_2,gyenge vagy ellenfényben.
CAMMENU_RECOGNITION_ADV_GUIDE_2,gyenge vagy ellenfényben.
CAMMENU_RECOGNITION_AUTO2_GUIDE,A színhely számára optimális
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,beállításokkal fényképez
CAMMENU_RECOGNITION_AUTO_GUIDE,Fényképezés opt. beáll. okkal
CAMMENU_RECOGNITION_AUTO_GUIDE_2,gyenge vagy ellenfényben.
CAMMENU_RECOGNITION_OFF_GUIDE,Színhely felismerés
CAMMENU_RECOGNITION_OFF_GUIDE_2,kikapcsolás
CAMMENU_REDEYEREDUCTION,Vörösszem cs
CAMMENU_REDEYE_FACE_GUIDE,Auto vörösszem csökkentés,
CAMMENU_REDEYE_FACE_GUIDE_2,amikor arcokat ismer fel
CAMMENU_REDEYE_OFF_GUIDE,Vörösszem csökkentés ki
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,Elővillanás a vörösszem
CAMMENU_REDEYE_ON_GUIDE_2,csökkentésére vakunál
CAMMENU_REMAIN_NUMBER,Kb. a tárkapacitás
CAMMENU_REMAIN_TIME,Kb. hátralévő idő
CAMMENU_SATURATION_DOWN_GUIDE,Alacsonyabb színtelítődéssel
CAMMENU_SATURATION_DOWN_GUIDE_2,fényképez
CAMMENU_SATURATION_NORMAL_GUIDE,A színtelítődés beállítása
CAMMENU_SATURATION_NORMAL_GUIDE_2,Normál
CAMMENU_SATURATION_UP_GUIDE,Magasabb színtelítődéssel
CAMMENU_SATURATION_UP_GUIDE_2,fényképez
CAMMENU_SELFTIMER,Önkioldó
CAMMENU_SELFTIMER_10SEC,Önkioldó 10 mp
CAMMENU_SELFTIMER_2SEC,Önkioldó 2 mp
CAMMENU_SELFTIMER_OFF,Önkioldó ki
CAMMENU_SETUP,Beállítás
CAMMENU_SETUP_CHANGE_GUIDE,A fényképezés beállításainak
CAMMENU_SETUP_CHANGE_GUIDE_2,kijelzéséhez lép
CAMMENU_SHOOTING,Felvétel
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Nyomtatókhoz A3+-ig
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,HDTV-ken megtekintés
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,céljára
CAMMENU_SIZE_16_9_A3_GUIDE,HDTV-ken megtekintés
CAMMENU_SIZE_16_9_A3_GUIDE_2,és A3-as nyomtatás céljára
CAMMENU_SIZE_16_9_A4_GUIDE,HDTV-ken megtekintés
CAMMENU_SIZE_16_9_A4_GUIDE_2,és A4-as nyomtatás céljára
CAMMENU_SIZE_16_9_GUIDE,HDTV méretarányban
CAMMENU_SIZE_16_9_GUIDE_2,fényképez
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Kis méretben fényképez
CAMMENU_SIZE_320_GUIDE_2,e-mail csatoláshoz
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Nyomtatókhoz 10x15 cm-ig
CAMMENU_SIZE_3M_GUIDE_2,vagy 13x18 cm-ig
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,3:2 méretarányban fénykép.
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Nyomtatókhoz A4 -ig
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Kiváló)
CAMMENU_SIZE_640FINE_GUIDE,Kiváló minőségű mozgóképet
CAMMENU_SIZE_640FINE_GUIDE_2,fényképez TV-hez
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Normál minőségű mozgó-
CAMMENU_SIZE_640STD_GUIDE_2,képet fényképez TV-hez
CAMMENU_SIZE_8M_GUIDE,Nyomtatókhoz A3-ig
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Kis képmérettel fényképez az
CAMMENU_SIZE_VGA_GUIDE_2,e-mail csatoláshoz
CAMMENU_SMILE,Mosolykeresés
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Fényképezés nagy érzékeny-
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,ségű mosolykereséssel
CAMMENU_SMILESHUTTER_LOW_GUIDE,Fényképezés kis érzékeny-
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,ségű mosolykereséssel
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Fényképezés átlag érzékeny-
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,ségű mosolykereséssel
CAMMENU_SMILE_DETECTION,Mosolyérzékelés mértéke
CAMMENU_SPOT,Pontszerű
CAMMENU_SPOTAF,Pontsz. AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot mindig be
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot ki
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot be, amikor ex-
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,ponáló gombot félig lenyom.
CAMMENU_TOUCH,Amikor megérinti
CAMMENU_WATERWB,Víz alatti fehéregyensúly
CAMMENU_WATERWB_AUTO_GUIDE,Automatikusan víz alatti fény-
CAMMENU_WATERWB_AUTO_GUIDE_2,képezéshez állítja a feh. egys.
CAMMENU_WATERWB_FLASH_GUIDE,Használja, ha víz alatt
CAMMENU_WATERWB_FLASH_GUIDE_2,vakuval fényképez
CAMMENU_WATERWB_WATER1,Víz alatti 1
CAMMENU_WATERWB_WATER1_GUIDE,Használja, ha kék vízben
CAMMENU_WATERWB_WATER1_GUIDE_2,fényképez
CAMMENU_WATERWB_WATER2,Víz alatti 2
CAMMENU_WATERWB_WATER2_GUIDE,Használja, ha zöld vízben
CAMMENU_WATERWB_WATER2_GUIDE_2,fényképez
CAMMENU_WB2,Fehér egyensúly
CAMMENU_WB_AUTO_GUIDE,Automatikusan természetes
CAMMENU_WB_AUTO_GUIDE_2,színekhez állítja
CAMMENU_WB_CLOUDY,Felhős
CAMMENU_WB_CLOUDY_GUIDE,Felhős napokon vagy
CAMMENU_WB_CLOUDY_GUIDE_2,árnyékban használja
CAMMENU_WB_DAYLIGHT,Nappali fény
CAMMENU_WB_DAYLIGHT_GUIDE,Napos külső vagy éjszakai
CAMMENU_WB_DAYLIGHT_GUIDE_2,helyszíneknél használja
CAMMENU_WB_FLASH,Vaku
CAMMENU_WB_FLASH_GUIDE,Használja, amikor
CAMMENU_WB_FLASH_GUIDE_2,vakuval fényképez
CAMMENU_WB_FLUORESCENT1,1. fénycső
CAMMENU_WB_FLUORESCENT1_GUIDE,Fehér fényű fénycsőnél
CAMMENU_WB_FLUORESCENT1_GUIDE_2,használja
CAMMENU_WB_FLUORESCENT2,2. fénycső
CAMMENU_WB_FLUORESCENT2_GUIDE,Természetes fehér fényű
CAMMENU_WB_FLUORESCENT2_GUIDE_2,fénycsőnél használja
CAMMENU_WB_FLUORESCENT3,3. fénycső
CAMMENU_WB_FLUORESCENT3_GUIDE,Nappali fehér fényű
CAMMENU_WB_FLUORESCENT3_GUIDE_2,fénycsőnél használja
CAMMENU_WB_INCANDESCENT,Izzólámpa
CAMMENU_WB_INCANDESCENT_GUIDE,Izzólámpánál vagy videó
CAMMENU_WB_INCANDESCENT_GUIDE_2,fényeknél használja
CAMMODE_AUTO,Autom. beállítás
CAMMODE_AUTO_GUIDE,Automatikus beállí-
CAMMODE_AUTO_GUIDE_2,tású felvételekhez
CAMMODE_BEACH,Tengerpart
CAMMODE_BEACH_GUIDE,Kék színben gazdag
CAMMODE_BEACH_GUIDE_2,vízparti felvétel
CAMMODE_COOKING,Gasztronómia
CAMMODE_COOKING_GUIDE,Ételeket gusztusosan
CAMMODE_COOKING_GUIDE_2,fényképez
CAMMODE_EASY,Egyszerű fényképezés
CAMMODE_EASY_GUIDE,Teljesen automatikus fény-
CAMMODE_EASY_GUIDE_2,képezés egyszerű kijelzéssel
CAMMODE_FIREWORKS,Tűzijáték
CAMMODE_FIREWORKS_GUIDE,Tűzijáték fényképe-
CAMMODE_FIREWORKS_GUIDE_2,zése teljes pompában
CAMMODE_HIGHSENSITIVITY,Nagyérzékenység
CAMMODE_HIGHSENSITIVITY_GUIDE,Fényképezés vaku nélkül sö-
CAMMODE_HIGHSENSITIVITY_GUIDE_2,tét helyen kis elmosódással
CAMMODE_HIGHSPEEDSHUTTER,Nagy zársebesség
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Mozgó tárgy befa-
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,gyasztott felvétele
CAMMODE_LANDSCAPE,Tájkép
CAMMODE_LANDSCAPE_GUIDE,Távolra fókuszált
