CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0,3EV
CAMMENU_BRK_07EV,BRK±0,7EV
CAMMENU_BRK_10EV,BRK±1,0EV
CAMMENU_BURST,Serie
CAMMENU_BURST_BRK03EV_GUIDE,3 Bilder in 0,3-EV-Stufen
CAMMENU_BURST_BRK03EV_GUIDE_2,aufnehmen
CAMMENU_BURST_BRK07EV_GUIDE,3 Bilder in 0,7-EV-Stufen
CAMMENU_BURST_BRK07EV_GUIDE_2,aufnehmen
CAMMENU_BURST_BRK10EV_GUIDE,3 Bilder in 1,0-EV-Stufen
CAMMENU_BURST_BRK10EV_GUIDE_2,aufnehmen
CAMMENU_BURST_OFF_GUIDE,Eine Aufnahme pro
CAMMENU_BURST_OFF_GUIDE_2,Auslöserbetätigung
CAMMENU_BURST_ON_GUIDE,Serienaufnahme bei ge-
CAMMENU_BURST_ON_GUIDE_2,drückt gehaltenem Auslöser
CAMMENU_CENTER,Mitte
CAMMENU_CENTERAF,Center-AF
CAMMENU_CLOSEEYE,Augen-zu-Reduzierung
CAMMENU_CLOSEEYE_AUTO_GUIDE,Augenanalyse zur Vermei-
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,dung geschlossener Augen
CAMMENU_CLOSEEYE_OFF_GUIDE,Geschlossene-Augen-
CAMMENU_CLOSEEYE_OFF_GUIDE_2,Reduzierung abschalten
CAMMENU_COLOR,Farbmodus
CAMMENU_COLOR_BW,S/W
CAMMENU_COLOR_BW_GUIDE,Liefert Schwarzweißbilder
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Im Standard-Farbmodus
CAMMENU_COLOR_NORMAL_GUIDE_2,aufnehmen
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,Simuliert Farben von alten
CAMMENU_COLOR_SEPIA_GUIDE_2,Fotos
CAMMENU_COLOR_VIVID,Lebhaft
CAMMENU_COLOR_VIVID_GUIDE,Bild wird auf tiefe und
CAMMENU_COLOR_VIVID_GUIDE_2,lebhafte Farben eingestellt
CAMMENU_CONTINUOUS,Kontinu.
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Erweitert
CAMMENU_DRO_ADV_GUIDE,Schattendetails ohne
CAMMENU_DRO_ADV_GUIDE_2,Spitzlichteinbußen
CAMMENU_DRO_OFF_GUIDE,Keine Schattendetail-
CAMMENU_DRO_OFF_GUIDE_2,gewinnung
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,In Schattenbereich verlorene
CAMMENU_DRO_STANDARD_GUIDE_2,Bilddetails gewinnen
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Bild wird heller (＋)
CAMMENU_EV_GUIDE2,Bild wird heller (＋)
CAMMENU_EV_GUIDE2_2,oder dunkler (－)
CAMMENU_EV_GUIDE_2,oder dunkler (－)
CAMMENU_FACE,Gesichtserkennung
CAMMENU_FACE_ADULT,Erwachsenen-Priorität
CAMMENU_FACE_ADULT_GUIDE,Fokus mit Priorität auf
CAMMENU_FACE_ADULT_GUIDE_2,Erwachsenengesichtern
CAMMENU_FACE_CHILD,Kinder-Priorität
CAMMENU_FACE_CHILD_GUIDE,Fokus mit Priorität auf
CAMMENU_FACE_CHILD_GUIDE_2,Kindergesichtern
CAMMENU_FACE_ON_GUIDE,Priorität auf Gesichts-
CAMMENU_FACE_ON_GUIDE_2,fokussierung setzen
CAMMENU_FACE_TOUCH_GUIDE,Gesichtserkennung nur bei
CAMMENU_FACE_TOUCH_GUIDE_2,Gesichtberührung aktivieren
CAMMENU_FLASHLEVEL,Blitzstufe
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Mit niedrigerer
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,Blitzstärke aufnehmen
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Mit normaler
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,Blitzstärke aufnehmen
CAMMENU_FLASHLEVEL_UP_GUIDE,Mit höherer
CAMMENU_FLASHLEVEL_UP_GUIDE_2,Blitzstärke aufnehmen
CAMMENU_FLASH_SYNCHRO,Langzeit-Synchro
CAMMENU_FOCUS,Fokus
CAMMENU_FOUCS_10M_GUIDE,Fokus auf
CAMMENU_FOUCS_10M_GUIDE_2,ca. 1,0 m einstellen
CAMMENU_FOUCS_30M_GUIDE,Fokus auf
CAMMENU_FOUCS_30M_GUIDE_2,ca. 3,0 m einstellen
CAMMENU_FOUCS_70M_GUIDE,Fokus auf
CAMMENU_FOUCS_70M_GUIDE_2,ca. 7,0 m einstellen
CAMMENU_FOUCS_CENTER_GUIDE,Autofokus auf ein
CAMMENU_FOUCS_CENTER_GUIDE_2,Motiv in der Mitte
CAMMENU_FOUCS_INFINITY_GUIDE,Fokus auf
CAMMENU_FOUCS_INFINITY_GUIDE_2,unendlich einstellen
CAMMENU_FOUCS_MANUAL_GUIDE,Fokus manuell einstellen
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Autofokus auf
CAMMENU_FOUCS_MULTI_GUIDE_2,das ganze Bild
CAMMENU_FOUCS_SPOT_GUIDE,Autofokus auf einen
CAMMENU_FOUCS_SPOT_GUIDE_2,zentralen Punkt
CAMMENU_FOUCS_TSPOT_GUIDE,Autofokus durch Berühren
CAMMENU_FOUCS_TSPOT_GUIDE_2,eines Displaypunktes
CAMMENU_IMAGESIZE,Bildgröße
CAMMENU_IMAGESIZE_L,Groß
CAMMENU_IMAGESIZE_S,Klein
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Empfindlichkeit auf ISO 100
CAMMENU_ISO_100_GUIDE_2,einstellen
CAMMENU_ISO_1600_GUIDE,Empfindlichkeit auf ISO 1600
CAMMENU_ISO_1600_GUIDE_2,einstellen
CAMMENU_ISO_200_GUIDE,Empfindlichkeit auf ISO 200
CAMMENU_ISO_200_GUIDE_2,einstellen
CAMMENU_ISO_3200_GUIDE,Empfindlichkeit auf ISO 3200
CAMMENU_ISO_3200_GUIDE_2,einstellen
CAMMENU_ISO_400_GUIDE,Empfindlichkeit auf ISO 400
CAMMENU_ISO_400_GUIDE_2,einstellen
CAMMENU_ISO_64_GUIDE,Empfindlichkeit auf ISO 64
CAMMENU_ISO_64_GUIDE_2,einstellen
CAMMENU_ISO_800_GUIDE,Empfindlichkeit auf ISO 800
CAMMENU_ISO_800_GUIDE_2,einstellen
CAMMENU_ISO_80_GUIDE,Empfindlichkeit auf ISO 80
CAMMENU_ISO_80_GUIDE_2,einstellen
CAMMENU_ISO_AUTO_GUIDE,Automatische
CAMMENU_ISO_AUTO_GUIDE_2,Empfindlichkeitseinstellung
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Menü
CAMMENU_METERINGMODE,Messmodus
CAMMENU_METERING_CENTER_GUIDE,Belichtung beruht auf
CAMMENU_METERING_CENTER_GUIDE_2,Helligkeit in Mitte
CAMMENU_METERING_MULTI_GUIDE,Belichtung auf ganzem
CAMMENU_METERING_MULTI_GUIDE_2,Bild ausgewogen
CAMMENU_METERING_SPOT_GUIDE,Belichtung beruht auf Hellig-
CAMMENU_METERING_SPOT_GUIDE_2,keit eines zentralen Punkts
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi-AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,AUFN-Modus
CAMMENU_RECOGNITION,Szenenerkennung
CAMMENU_RECOGNITION_ADV_GUIDE,Autom. Zusatzaufnahme bei
CAMMENU_RECOGNITION_ADV_GUIDE2,Autom. Zusatzaufnahme bei
CAMMENU_RECOGNITION_ADV_GUIDE2_2,Dämmerung oder Gegenlicht
CAMMENU_RECOGNITION_ADV_GUIDE_2,Dämmerung oder Gegenlicht
CAMMENU_RECOGNITION_AUTO2_GUIDE,Mit optimalen Einstellungen
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,für die Szene aufnehmen
CAMMENU_RECOGNITION_AUTO_GUIDE,Optimale Einstellungen bei
CAMMENU_RECOGNITION_AUTO_GUIDE_2,Dämmerung oder Gegenlicht
CAMMENU_RECOGNITION_OFF_GUIDE,Szenenerkennung
CAMMENU_RECOGNITION_OFF_GUIDE_2,ausschalten
CAMMENU_REDEYEREDUCTION,Rotaugen-Reduz
CAMMENU_REDEYE_FACE_GUIDE,Autom. Rote-Augen-Reduz.
CAMMENU_REDEYE_FACE_GUIDE_2,bei Gesichtserkennung
CAMMENU_REDEYE_OFF_GUIDE,Rote-Augen-Reduzierung
CAMMENU_REDEYE_OFF_GUIDE_2,Aus
CAMMENU_REDEYE_ON_GUIDE,Vorblitz zur Reduzierung
CAMMENU_REDEYE_ON_GUIDE_2,roter Augen bei Blitzeinsatz
CAMMENU_REMAIN_NUMBER,Ungef. Bildkapazität
CAMMENU_REMAIN_TIME,Ungefähre Restzeit
CAMMENU_SATURATION_DOWN_GUIDE,Mit niedriger Farbsättigung
CAMMENU_SATURATION_DOWN_GUIDE_2,aufnehmen
CAMMENU_SATURATION_NORMAL_GUIDE,Farbsättigung auf Normal
CAMMENU_SATURATION_NORMAL_GUIDE_2,setzen
CAMMENU_SATURATION_UP_GUIDE,Mit hoher Farbsättigung
CAMMENU_SATURATION_UP_GUIDE_2,aufnehmen
CAMMENU_SELFTIMER,Selbstauslöser
CAMMENU_SELFTIMER_10SEC,Selbstauslöser 10Sek
CAMMENU_SELFTIMER_2SEC,Selbstauslöser 2Sek
CAMMENU_SELFTIMER_OFF,Selbstauslöser Aus
CAMMENU_SETUP,Setup
CAMMENU_SETUP_CHANGE_GUIDE,Zur Aufnahmeeinstellungs-
CAMMENU_SETUP_CHANGE_GUIDE_2,anzeige gehen
CAMMENU_SHOOTING,Aufnahme
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,Für Abzüge bis zu A3+
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,Für Wiedergabe auf HDTV
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,Für Wiedergabe auf HDTV
CAMMENU_SIZE_16_9_A3_GUIDE_2,und Drucken bis zu A3
CAMMENU_SIZE_16_9_A4_GUIDE,Für Wiedergabe auf HDTV
CAMMENU_SIZE_16_9_A4_GUIDE_2,und Drucken bis zu A4
CAMMENU_SIZE_16_9_GUIDE,Mit HDTV-Seitenverhältnis
CAMMENU_SIZE_16_9_GUIDE_2,aufnehmen
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Mit kleiner Größe für
CAMMENU_SIZE_320_GUIDE_2,E-Mail-Anhang aufnehmen
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,Für Abzüge bis zu 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,oder 13x18 cm
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Mit 3:2-Seitenverhältnis
CAMMENU_SIZE_3_2_GUIDE_2,aufnehmen
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,Für Abzüge bis zu A4
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Fein)
CAMMENU_SIZE_640FINE_GUIDE,Film in hoher Qualität für
CAMMENU_SIZE_640FINE_GUIDE_2,TV-Wiedergabe aufnehmen
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Film in Standardqualität für
CAMMENU_SIZE_640STD_GUIDE_2,TV-Wiedergabe aufnehmen
CAMMENU_SIZE_8M_GUIDE,Für Abzüge bis zu A3
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Mit kleiner Bildgröße für
CAMMENU_SIZE_VGA_GUIDE_2,E-Mail-Anhang aufnehmen
CAMMENU_SMILE,Lächelerkennung
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Mit hohem Lächelerken-
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,nungsgrad aufnehmen
CAMMENU_SMILESHUTTER_LOW_GUIDE,Mit niedrigem Lächelerken-
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,nungsgrad aufnehmen
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Mit normalem Lächelerken-
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,nungsgrad aufnehmen
CAMMENU_SMILE_DETECTION,Lächelerkennungsempfindlk
CAMMENU_SPOT,Spot
CAMMENU_SPOTAF,Spot-AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot immer Ein
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot Aus
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot Ein, wenn
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,Auslöser halb gedrückt
CAMMENU_TOUCH,Bei Berührung
CAMMENU_WATERWB,Unterwasser-Weißabgleich
CAMMENU_WATERWB_AUTO_GUIDE,Automatischer Weißabgleich
CAMMENU_WATERWB_AUTO_GUIDE_2,für Unterwasseraufnahme
CAMMENU_WATERWB_FLASH_GUIDE,Für Unterwasseraufnahmen
CAMMENU_WATERWB_FLASH_GUIDE_2,mit Blitz
CAMMENU_WATERWB_WATER1,Unterwasser 1
CAMMENU_WATERWB_WATER1_GUIDE,Für Aufnahmen in blauem
CAMMENU_WATERWB_WATER1_GUIDE_2,Wasser
CAMMENU_WATERWB_WATER2,Unterwasser 2
CAMMENU_WATERWB_WATER2_GUIDE,Für Aufnahmen in grünem
CAMMENU_WATERWB_WATER2_GUIDE_2,Wasser
CAMMENU_WB2,Weissabgl
CAMMENU_WB_AUTO_GUIDE,Automatische Einstellung für
CAMMENU_WB_AUTO_GUIDE_2,natürliche Farben
CAMMENU_WB_CLOUDY,Bewölkung
CAMMENU_WB_CLOUDY_GUIDE,Bei Bewölkung oder
CAMMENU_WB_CLOUDY_GUIDE_2,im Schatten
CAMMENU_WB_DAYLIGHT,Tageslicht
CAMMENU_WB_DAYLIGHT_GUIDE,Für sonnige Außenszenen
CAMMENU_WB_DAYLIGHT_GUIDE_2,oder Nachtszenen
CAMMENU_WB_FLASH,Blitz
CAMMENU_WB_FLASH_GUIDE,Für Blitzaufnahmen
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,Leuchtstofflampe 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Unter weißem
CAMMENU_WB_FLUORESCENT1_GUIDE_2,Leuchtstofflampenlicht
CAMMENU_WB_FLUORESCENT2,Leuchtstofflampe 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Unter natürlich weißem
CAMMENU_WB_FLUORESCENT2_GUIDE_2,Leuchtstofflampenlicht
CAMMENU_WB_FLUORESCENT3,Leuchtstofflampe 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Unter tagweißem
CAMMENU_WB_FLUORESCENT3_GUIDE_2,Leuchtstofflampenlicht
CAMMENU_WB_INCANDESCENT,Glühlampe
CAMMENU_WB_INCANDESCENT_GUIDE,Unter Glühlampen- oder
CAMMENU_WB_INCANDESCENT_GUIDE_2,Videoleuchtenlicht
CAMMODE_AUTO,Autom. Einstellung
CAMMODE_AUTO_GUIDE,Aufnehmen mit automa-
CAMMODE_AUTO_GUIDE_2,tischen Einstellungen
CAMMODE_BEACH,Strand
CAMMODE_BEACH_GUIDE,Strandszenen mit
CAMMODE_BEACH_GUIDE_2,satten Blautönen
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Natürliche Aufnahme
CAMMODE_COOKING_GUIDE_2,von Speisen
CAMMODE_EASY,Einfache Aufnahme
CAMMODE_EASY_GUIDE,Vollautomatische Aufnahme
CAMMODE_EASY_GUIDE_2,mit vereinfachter Anzeige
CAMMODE_FIREWORKS,Feuerwerk
CAMMODE_FIREWORKS_GUIDE,Feuerwerk in voller
CAMMODE_FIREWORKS_GUIDE_2,Pracht aufnehmen
CAMMODE_HIGHSENSITIVITY,Hohe Empfindlk.
CAMMODE_HIGHSENSITIVITY_GUIDE,Scharfe Bilder ohne Blitz
CAMMODE_HIGHSENSITIVITY_GUIDE_2,bei schwachem Licht
CAMMODE_HIGHSPEEDSHUTTER,Kurze Verschluss
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Einfrieren schneller
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,Bewegungen
