CAMMENU_0EV,‫0EV‬
CAMMENU_100,‫100‬
CAMMENU_10M,‫1.0m‬
CAMMENU_1600,‫1600‬
CAMMENU_200,‫200‬
CAMMENU_30M,‫3.0m‬
CAMMENU_3200,‫3200‬
CAMMENU_400,‫400‬
CAMMENU_70M,‫7.0m‬
CAMMENU_80,‫80‬
CAMMENU_800,‫800‬
CAMMENU_BRK_03EV,‫BRK±0.3EV‬
CAMMENU_BRK_07EV,‫BRK±0.7EV‬
CAMMENU_BRK_10EV,‫BRK±1.0EV‬
CAMMENU_BURST,‫زنجیره ای‬
CAMMENU_BURST_BRK03EV_GUIDE,‫گرفتن 3 تصویر با تفاوت 0.3EV‬
CAMMENU_BURST_BRK03EV_GUIDE_2,‫‬
CAMMENU_BURST_BRK07EV_GUIDE,‫گرفتن 3 تصویر با تفاوت 0.7EV‬
CAMMENU_BURST_BRK07EV_GUIDE_2,‫‬
CAMMENU_BURST_BRK10EV_GUIDE,‫گرفتن 3 تصویر با تفاوت 1.0EV‬
CAMMENU_BURST_BRK10EV_GUIDE_2,‫‬
CAMMENU_BURST_OFF_GUIDE,‫گرفتن یک عکس منفرد‬
CAMMENU_BURST_OFF_GUIDE_2,‫فشار دادن دکمه شاتر‬
CAMMENU_BURST_ON_GUIDE,‫تصویربرداری پیوسته مادامی که‬
CAMMENU_BURST_ON_GUIDE_2,‫دکمه شاتر نگاه داشته شده‬
CAMMENU_CENTER,‫مرکزی‬
CAMMENU_CENTERAF,‫AF مرکزی‬
CAMMENU_CLOSEEYE,‫تصحیح چشم های بسته‬
CAMMENU_CLOSEEYE_AUTO_GUIDE,‫تحلیل چشم ها برای پرهیز از‬
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,‫چشم های بسته شده‬
CAMMENU_CLOSEEYE_OFF_GUIDE,‫خاموش کردن تصحیح چشمهای بسته‬
CAMMENU_CLOSEEYE_OFF_GUIDE_2,‫‬
CAMMENU_COLOR,‫وضع رنگ‬
CAMMENU_COLOR_BW,‫سیاه و سفید‬
CAMMENU_COLOR_BW_GUIDE,‫تبدیل تصاویر به سیاه و سفید‬
CAMMENU_COLOR_BW_GUIDE_2,‫‬
CAMMENU_COLOR_NORMAL_GUIDE,‫تصویربرداری در وضعیت رنگ‬
CAMMENU_COLOR_NORMAL_GUIDE_2,‫استاندارد‬
CAMMENU_COLOR_SEPIA,‫قرمز قهوه ای‬
CAMMENU_COLOR_SEPIA_GUIDE,‫شبیه سازی رنگ ها در عکس های‬
CAMMENU_COLOR_SEPIA_GUIDE_2,‫قدیمی‬
CAMMENU_COLOR_VIVID,‫زنده‬
CAMMENU_COLOR_VIVID_GUIDE,‫تصویر را بر روی رنگ زنده و‬
CAMMENU_COLOR_VIVID_GUIDE_2,‫روشن تصحیح می کند‬
CAMMENU_CONTINUOUS,‫پیوسته‬
CAMMENU_DRO,‫DRO‬
CAMMENU_DRO_ADV,‫پیشرفته‬
CAMMENU_DRO_ADV_GUIDE,‫بازیابی جزئیات سایه بدون‬
CAMMENU_DRO_ADV_GUIDE_2,‫از دست دادن نقاط روشن‬
CAMMENU_DRO_OFF_GUIDE,‫بدون بازیابی جزئیات سایه‬
CAMMENU_DRO_OFF_GUIDE_2,‫‬
CAMMENU_DRO_PLUS,‫DRO plus‬
CAMMENU_DRO_STANDARD_GUIDE,‫بازیابی جزئیات از دست رفته‬
CAMMENU_DRO_STANDARD_GUIDE_2,‫تصویر در ناحیه سایه‬
CAMMENU_DRO_STD,‫DRO standard‬
CAMMENU_EV,‫EV‬
CAMMENU_EV2,‫EV‬
CAMMENU_EV_GUIDE,‫تنظیم روشنایی (＋)‬
CAMMENU_EV_GUIDE2,‫تنظیم روشنایی (＋)‬
CAMMENU_EV_GUIDE2_2,‫و تاریکی (－) تصویر‬
CAMMENU_EV_GUIDE_2,‫و تاریکی (－) تصویر‬
CAMMENU_FACE,‫تشخیص چهره‬
CAMMENU_FACE_ADULT,‫اولویت بزرگسال‬
CAMMENU_FACE_ADULT_GUIDE,‫تمرکز با اولویت روی چهره های‬
CAMMENU_FACE_ADULT_GUIDE_2,‫ بزرگسالان‬
CAMMENU_FACE_CHILD,‫اولویت کودک‬
CAMMENU_FACE_CHILD_GUIDE,‫تمرکز با اولویت روی چهره های‬
CAMMENU_FACE_CHILD_GUIDE_2,‫کودکان‬
CAMMENU_FACE_ON_GUIDE,‫تعیین اولویت بر تمرکز روی‬
CAMMENU_FACE_ON_GUIDE_2,‫چهره افراد‬
CAMMENU_FACE_TOUCH_GUIDE,‫فعال کردن تشخیص چهره‬
CAMMENU_FACE_TOUCH_GUIDE_2,‫فقط هنگام تماس با یک صورت‬
CAMMENU_FLASHLEVEL,‫درجه فلاش‬
CAMMENU_FLASHLEVEL_DOWN_GUIDE,‫تصویربرداری با شدت فلاش کمتر‬
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,‫‬
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,‫تصویربرداری با شدت فلاش‬
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,‫استاندارد‬
CAMMENU_FLASHLEVEL_UP_GUIDE,‫تصویر برداری با شدت فلاش بیشتر‬
CAMMENU_FLASHLEVEL_UP_GUIDE_2,‫‬
CAMMENU_FLASH_SYNCHRO,‫انطباق کند‬
CAMMENU_FOCUS,‫تمرکز‬
CAMMENU_FOUCS_10M_GUIDE,‫تعیین تمرکز بر فاصله‬
CAMMENU_FOUCS_10M_GUIDE_2,‫حدود 1.0 متر‬
CAMMENU_FOUCS_30M_GUIDE,‫تعیین تمرکز بر فاصله‬
CAMMENU_FOUCS_30M_GUIDE_2,‫حدود 3.0 متر‬
CAMMENU_FOUCS_70M_GUIDE,‫تعیین تمرکز بر فاصله‬
CAMMENU_FOUCS_70M_GUIDE_2,‫حدود 7.0 متر‬
CAMMENU_FOUCS_CENTER_GUIDE,‫تمرکز خودکار‬
CAMMENU_FOUCS_CENTER_GUIDE_2,‫روی یک موضوع در مرکز‬
CAMMENU_FOUCS_INFINITY_GUIDE,‫تعیین تمرکز بر‬
CAMMENU_FOUCS_INFINITY_GUIDE_2,‫یک فاصله نامحدود‬
CAMMENU_FOUCS_MANUAL_GUIDE,‫تعیین تمرکز به صورت دستی‬
CAMMENU_FOUCS_MANUAL_GUIDE_2,‫‬
CAMMENU_FOUCS_MULTI_GUIDE,‫تمرکز خودکار‬
CAMMENU_FOUCS_MULTI_GUIDE_2,‫در کل کادر‬
CAMMENU_FOUCS_SPOT_GUIDE,‫تمرکز خودکار روی یک نقطه مرکزی‬
CAMMENU_FOUCS_SPOT_GUIDE_2,‫‬
CAMMENU_FOUCS_TSPOT_GUIDE,‫تمرکز خودکار توسط لمس هر‬
CAMMENU_FOUCS_TSPOT_GUIDE_2,‫نقطه روی صفحه‬
CAMMENU_IMAGESIZE,‫اندازه تصویر‬
CAMMENU_IMAGESIZE_L,‫بزرگ‬
CAMMENU_IMAGESIZE_S,‫کوچک‬
CAMMENU_INFINITY,‫∞‬
CAMMENU_ISO,‫ISO‬
CAMMENU_ISO_100_GUIDE,‫تعیین حساسیت بر ISO 100‬
CAMMENU_ISO_100_GUIDE_2,‫‬
CAMMENU_ISO_1600_GUIDE,‫تعیین حساسیت بر ISO 1600‬
CAMMENU_ISO_1600_GUIDE_2,‫‬
CAMMENU_ISO_200_GUIDE,‫تعیین حساسیت  بر ISO 200‬
CAMMENU_ISO_200_GUIDE_2,‫‬
CAMMENU_ISO_3200_GUIDE,‫تعیین حساسیت بر ISO 3200‬
CAMMENU_ISO_3200_GUIDE_2,‫‬
CAMMENU_ISO_400_GUIDE,‫تعیین حساسیت  بر ISO 400‬
CAMMENU_ISO_400_GUIDE_2,‫‬
CAMMENU_ISO_64_GUIDE,‫تعیین حساسیت بر ISO 64‬
CAMMENU_ISO_64_GUIDE_2,‫‬
CAMMENU_ISO_800_GUIDE,‫تعیین حساسیت  بر ISO 800‬
CAMMENU_ISO_800_GUIDE_2,‫‬
CAMMENU_ISO_80_GUIDE,‫تعیین حساسیت بر ISO 80‬
CAMMENU_ISO_80_GUIDE_2,‫‬
CAMMENU_ISO_AUTO_GUIDE,‫تنظیم خودکارحساسیت‬
CAMMENU_ISO_AUTO_GUIDE_2,‫‬
CAMMENU_M03EV,‫-0.3EV‬
CAMMENU_M07EV,‫-0.7EV‬
CAMMENU_M10EV,‫-1.0EV‬
CAMMENU_M13EV,‫-1.3EV‬
CAMMENU_M17EV,‫-1.7EV‬
CAMMENU_M20EV,‫-2.0EV‬
CAMMENU_MACRO,‫ماکرو‬
CAMMENU_MENU,‫فهرست انتخاب‬
CAMMENU_METERINGMODE,‫وضع اندازه گیری‬
CAMMENU_METERING_CENTER_GUIDE,‫نوردهی بر اساس‬
CAMMENU_METERING_CENTER_GUIDE_2,‫روشنایی مرکز‬
CAMMENU_METERING_MULTI_GUIDE,‫نوردهی متوازن شده‬
CAMMENU_METERING_MULTI_GUIDE_2,‫در سرتاسرکادر‬
CAMMENU_METERING_SPOT_GUIDE,‫نوردهی بر اساس‬
CAMMENU_METERING_SPOT_GUIDE_2,‫روشنایی یک نقطه مرکزی‬
CAMMENU_MINUS,‫－‬
CAMMENU_MULTI,‫چندگانه‬
CAMMENU_MULTIAF,‫AF چندگانه‬
CAMMENU_NORMAL_CAP,‫ عادی‬
CAMMENU_P03EV,‫+0.3EV‬
CAMMENU_P07EV,‫+0.7EV‬
CAMMENU_P10EV,‫+1.0EV‬
CAMMENU_P13EV,‫+1.3EV‬
CAMMENU_P17EV,‫+1.7EV‬
CAMMENU_P20EV,‫+2.0EV‬
CAMMENU_PLUS,‫＋‬
CAMMENU_RECMODE,‫وضعیت ضبط‬
CAMMENU_RECOGNITION,‫تشخیص صحنه‬
CAMMENU_RECOGNITION_ADV_GUIDE,‫گرفتن خودکار یک تصویر بیشتر‬
CAMMENU_RECOGNITION_ADV_GUIDE2,‫گرفتن خودکار یک تصویر بیشتر‬
CAMMENU_RECOGNITION_ADV_GUIDE2_2,‫در تاریک و روشن یا زمینه روشن‬
CAMMENU_RECOGNITION_ADV_GUIDE_2,‫در تاریک و روشن یا زمینه روشن‬
CAMMENU_RECOGNITION_AUTO2_GUIDE,‫تصویربرداری با تنظیمات بهینه‬
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,‫برای صحنه‬
CAMMENU_RECOGNITION_AUTO_GUIDE,‫تصویربرداری با تنظیمات بهینه‬
CAMMENU_RECOGNITION_AUTO_GUIDE_2,‫در تاریک و روشن یا زمینه روشن‬
CAMMENU_RECOGNITION_OFF_GUIDE,‫خاموش کردن تشخیص صحنه‬
CAMMENU_RECOGNITION_OFF_GUIDE_2,‫‬
CAMMENU_REDEYEREDUCTION,‫کاهش قرمزی چشم‬
CAMMENU_REDEYE_FACE_GUIDE,‫کاهش خودکار قرمزی چشم هنگامی‬
CAMMENU_REDEYE_FACE_GUIDE_2,‫که چهره ها تشخیص داده شوند‬
CAMMENU_REDEYE_OFF_GUIDE,‫کاهش قرمزی چشم خاموش‬
CAMMENU_REDEYE_OFF_GUIDE_2,‫‬
CAMMENU_REDEYE_ON_GUIDE,‫پیش فلاش برای کاهش قرمزی چشم‬
CAMMENU_REDEYE_ON_GUIDE_2,‫هنگام استفاده از فلاش‬
CAMMENU_REMAIN_NUMBER,‫ظرفیت تقریبی تصویر‬
CAMMENU_REMAIN_TIME,‫زمان باقی مانده تقریبی‬
CAMMENU_SATURATION_DOWN_GUIDE,‫گرفتن تصاویر با اشباع رنگ کمتر‬
CAMMENU_SATURATION_DOWN_GUIDE_2,‫‬
CAMMENU_SATURATION_NORMAL_GUIDE,‫تعیین اشباع رنگ بر روی‬
CAMMENU_SATURATION_NORMAL_GUIDE_2,‫ عادی‬
CAMMENU_SATURATION_UP_GUIDE,‫گرفتن تصاویر با اشباع رنگ زیادتر‬
CAMMENU_SATURATION_UP_GUIDE_2,‫‬
CAMMENU_SELFTIMER,‫تایمر خودکار‬
CAMMENU_SELFTIMER_10SEC,‫تایمر 10ثا‬
CAMMENU_SELFTIMER_2SEC,‫تایمر 2ثا‬
CAMMENU_SELFTIMER_OFF,‫تایمر خموش‬
CAMMENU_SETUP,‫تنظیم‬
CAMMENU_SETUP_CHANGE_GUIDE,‫رفتن به نمایش تنظیمات‬
CAMMENU_SETUP_CHANGE_GUIDE_2,‫تصویربرداری‬
CAMMENU_SHOOTING,‫ عکاسی‬
CAMMENU_SIZE_10MEG,‫10M‬
CAMMENU_SIZE_12M_GUIDE,‫برای چاپ  تا +A3‬
CAMMENU_SIZE_12M_GUIDE_2,‫‬
CAMMENU_SIZE_16_9,‫16:9‬
CAMMENU_SIZE_16_9_2MEG_GUIDE,‫برای مشاهده بر روی تلویزیونهای‬
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,‫HD‬
CAMMENU_SIZE_16_9_A3_GUIDE,‫برای مشاهده بر روی تلویزیونهای‬
CAMMENU_SIZE_16_9_A3_GUIDE_2,‫HD و چاپ تا اندازه ("A3 (11x17‬
CAMMENU_SIZE_16_9_A4_GUIDE,‫برای مشاهده بر روی تلویزیونهای‬
CAMMENU_SIZE_16_9_A4_GUIDE_2,‫HD و چاپ تا اندازه ("A4 (8x10‬
CAMMENU_SIZE_16_9_GUIDE,‫تصویربرداری در ابعاد HDTV‬
CAMMENU_SIZE_16_9_GUIDE_2,‫‬
CAMMENU_SIZE_320,‫320‬
CAMMENU_SIZE_320_GUIDE,‫تصویربرداری در یک اندازه کوچک‬
CAMMENU_SIZE_320_GUIDE_2,‫برای الصاق به ایمیل‬
CAMMENU_SIZE_3MEG,‫3M‬
CAMMENU_SIZE_3M_GUIDE,‫برای چاپ تا 10x15 سانتی متر‬
CAMMENU_SIZE_3M_GUIDE_2,‫یا 13x18 سانتی متر‬
CAMMENU_SIZE_3_2_8MEG,‫3:2(8M)‬
CAMMENU_SIZE_3_2_GUIDE,‫تصویربرداری در ابعاد 3:2‬
CAMMENU_SIZE_3_2_GUIDE_2,‫‬
CAMMENU_SIZE_4_3,‫4:3‬
CAMMENU_SIZE_5MEG,‫5M‬
CAMMENU_SIZE_5M_GUIDE,‫برای چاپ  تا A4‬
CAMMENU_SIZE_5M_GUIDE_2,‫‬
CAMMENU_SIZE_640FINE,‫640(دقیق)‬
CAMMENU_SIZE_640FINE_GUIDE,‫تصویربرداری فیلم با کیفیت  بالا‬
CAMMENU_SIZE_640FINE_GUIDE_2,‫برای نمایش روی تلویزیون‬
CAMMENU_SIZE_640STD,‫640(استاندارد)‬
CAMMENU_SIZE_640STD_GUIDE,‫تصویربرداری فیلم با کیفیت استاندارد‬
CAMMENU_SIZE_640STD_GUIDE_2,‫برای نمایش روی تلویزیون‬
CAMMENU_SIZE_8M_GUIDE,‫برای چاپ تا A3‬
CAMMENU_SIZE_8M_GUIDE_2,‫‬
CAMMENU_SIZE_HD_2MEG,‫16:9(2M)‬
CAMMENU_SIZE_HD_7MEG,‫16:9(7M)‬
CAMMENU_SIZE_HD_VGA,‫16:9(VGA)‬
CAMMENU_SIZE_VGA,‫VGA‬
CAMMENU_SIZE_VGA_GUIDE,‫تصویربرداری در یک اندازه تصویر‬
CAMMENU_SIZE_VGA_GUIDE_2,‫کوچک برای الصاق به ایمیل‬
CAMMENU_SMILE,‫تشخیص لبخند‬
CAMMENU_SMILESHUTTER_HIGH_GUIDE,‫تصویربرداری با حساسیت زیاد‬
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,‫تشخیص لبخند‬
CAMMENU_SMILESHUTTER_LOW_GUIDE,‫تصویربرداری با حساسیت کم‬
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,‫تشخیص لبخند‬
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,‫تصویربرداری با حساسیت استاندارد‬
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,‫تشخیص لبخند‬
CAMMENU_SMILE_DETECTION,‫حساسیت تشخیص لبخند‬
CAMMENU_SPOT,‫نقطه ای‬
CAMMENU_SPOTAF,‫AF نقطه ای‬
CAMMENU_STEADYSHOT,‫SteadyShot‬
CAMMENU_STEADYSHOT_CONT_GUIDE,‫SteadyShot همواره روشن‬
CAMMENU_STEADYSHOT_CONT_GUIDE_2,‫‬
CAMMENU_STEADYSHOT_OFF_GUIDE,‫SteadyShot خاموش‬
CAMMENU_STEADYSHOT_OFF_GUIDE_2,‫‬
CAMMENU_STEADYSHOT_SHOOT_GUIDE,‫SteadyShot روشن هنگامی که‬
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,‫دکمه دیافراگم تا نیمه فشار داده شود‬
CAMMENU_TOUCH,‫هنگامی که لمس شد‬
CAMMENU_WATERWB,‫توازن سفیدی زیر آب‬
CAMMENU_WATERWB_AUTO_GUIDE,‫تنظیم خودکار توازن سفیدی‬
CAMMENU_WATERWB_AUTO_GUIDE_2,‫برای تصویربرداری زیر آب‬
CAMMENU_WATERWB_FLASH_GUIDE,‫استفاده هنگام تصویربرداری‬
CAMMENU_WATERWB_FLASH_GUIDE_2,‫زیر آب با استفاده از فلاش‬
CAMMENU_WATERWB_WATER1,‫زیر آب 1‬
CAMMENU_WATERWB_WATER1_GUIDE,‫هنگام تصویربرداری در آب آبی رنگ‬
CAMMENU_WATERWB_WATER1_GUIDE_2,‫استفاده کنید‬
CAMMENU_WATERWB_WATER2,‫زیر آب 2‬
CAMMENU_WATERWB_WATER2_GUIDE,‫هنگام تصویربرداری در آب  سبز رنگ‬
CAMMENU_WATERWB_WATER2_GUIDE_2,‫استفاده کنید‬
CAMMENU_WB2,‫توازن سفیدی‬
CAMMENU_WB_AUTO_GUIDE,‫تنظیم خودکار برای رنگ های طبیعی‬
CAMMENU_WB_AUTO_GUIDE_2,‫‬
CAMMENU_WB_CLOUDY,‫ابری‬
