CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,连拍
CAMMENU_BURST_BRK03EV_GUIDE,以0.3 EV为间隔拍摄3张影像
CAMMENU_BURST_BRK03EV_GUIDE_2,
CAMMENU_BURST_BRK07EV_GUIDE,以0.7 EV为间隔拍摄3张影像
CAMMENU_BURST_BRK07EV_GUIDE_2,
CAMMENU_BURST_BRK10EV_GUIDE,以1.0 EV为间隔拍摄3张影像
CAMMENU_BURST_BRK10EV_GUIDE_2,
CAMMENU_BURST_OFF_GUIDE,每按一次快门按钮
CAMMENU_BURST_OFF_GUIDE_2,拍摄一张影像
CAMMENU_BURST_ON_GUIDE,按住快门按钮期间
CAMMENU_BURST_ON_GUIDE_2,连续拍摄影像
CAMMENU_CENTER,偏重中央测光
CAMMENU_CENTERAF,中心AF
CAMMENU_CLOSEEYE,眨眼快门延迟
CAMMENU_CLOSEEYE_AUTO_GUIDE,分析眼睛以避免眨眼场面
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,
CAMMENU_CLOSEEYE_OFF_GUIDE,关闭眨眼快门延迟功能
CAMMENU_CLOSEEYE_OFF_GUIDE_2,
CAMMENU_COLOR,色彩模式
CAMMENU_COLOR_BW,黑白
CAMMENU_COLOR_BW_GUIDE,变成黑白影像
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,以标准色彩模式拍摄
CAMMENU_COLOR_NORMAL_GUIDE_2,
CAMMENU_COLOR_SEPIA,棕褐色
CAMMENU_COLOR_SEPIA_GUIDE,模仿旧照片的色彩
CAMMENU_COLOR_SEPIA_GUIDE_2,
CAMMENU_COLOR_VIVID,生动
CAMMENU_COLOR_VIVID_GUIDE,令影像色彩生动鲜艳
CAMMENU_COLOR_VIVID_GUIDE_2,
CAMMENU_CONTINUOUS,连续
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,高级
CAMMENU_DRO_ADV_GUIDE,恢复阴影部的细节
CAMMENU_DRO_ADV_GUIDE_2,并且不失去高亮部
CAMMENU_DRO_OFF_GUIDE,不恢复阴影部的细节
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,恢复阴影区域丢失的影像细节
CAMMENU_DRO_STANDARD_GUIDE_2,
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,调节影像的亮(＋)暗(－)度
CAMMENU_EV_GUIDE2,调节影像的亮(＋)暗(－)度
CAMMENU_EV_GUIDE2_2,
CAMMENU_EV_GUIDE_2,
CAMMENU_FACE,人脸检测
CAMMENU_FACE_ADULT,成人优先
CAMMENU_FACE_ADULT_GUIDE,优先对成人的脸部对焦
CAMMENU_FACE_ADULT_GUIDE_2,
CAMMENU_FACE_CHILD,儿童优先
CAMMENU_FACE_CHILD_GUIDE,优先对儿童的脸部对焦
CAMMENU_FACE_CHILD_GUIDE_2,
CAMMENU_FACE_ON_GUIDE,优先对人脸
CAMMENU_FACE_ON_GUIDE_2,对焦
CAMMENU_FACE_TOUCH_GUIDE,仅当点击人脸时
CAMMENU_FACE_TOUCH_GUIDE_2,激活人脸检测
CAMMENU_FLASHLEVEL,闪光灯亮度
CAMMENU_FLASHLEVEL_DOWN_GUIDE,减弱闪光灯光量拍摄
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,以标准的闪光灯光量拍摄
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,
CAMMENU_FLASHLEVEL_UP_GUIDE,增强闪光灯光量拍摄
CAMMENU_FLASHLEVEL_UP_GUIDE_2,
CAMMENU_FLASH_SYNCHRO,慢速同步
CAMMENU_FOCUS,对焦
CAMMENU_FOUCS_10M_GUIDE,将焦距设定为约1.0米远
CAMMENU_FOUCS_10M_GUIDE_2,
CAMMENU_FOUCS_30M_GUIDE,将焦距设定为约3.0米远
CAMMENU_FOUCS_30M_GUIDE_2,
CAMMENU_FOUCS_70M_GUIDE,将焦距设定为约7.0米远
CAMMENU_FOUCS_70M_GUIDE_2,
CAMMENU_FOUCS_CENTER_GUIDE,自动对画面中央的被摄体对焦
CAMMENU_FOUCS_CENTER_GUIDE_2,
CAMMENU_FOUCS_INFINITY_GUIDE,将焦距设定为无限远
CAMMENU_FOUCS_INFINITY_GUIDE_2,
CAMMENU_FOUCS_MANUAL_GUIDE,手动设定焦距
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,自动对画面全体对焦
CAMMENU_FOUCS_MULTI_GUIDE_2,
CAMMENU_FOUCS_SPOT_GUIDE,自动对画面中央一点对焦
CAMMENU_FOUCS_SPOT_GUIDE_2,
CAMMENU_FOUCS_TSPOT_GUIDE,通过点击屏幕上的任意一点
CAMMENU_FOUCS_TSPOT_GUIDE_2,自动对焦
CAMMENU_IMAGESIZE,影像尺寸
CAMMENU_IMAGESIZE_L,大
CAMMENU_IMAGESIZE_S,小
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,将感光度设定为ISO 100
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,将感光度设定为ISO 1600
CAMMENU_ISO_1600_GUIDE_2,
CAMMENU_ISO_200_GUIDE,将感光度设定为ISO 200
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,将感光度设定为ISO 3200
CAMMENU_ISO_3200_GUIDE_2,
CAMMENU_ISO_400_GUIDE,将感光度设定为ISO 400
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,将感光度设定为ISO 64
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,将感光度设定为ISO 800
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,将感光度设定为ISO 80
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,自动调节感光度
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,微距
CAMMENU_MENU,菜单
CAMMENU_METERINGMODE,测光模式
CAMMENU_METERING_CENTER_GUIDE,以画面中央的亮度
CAMMENU_METERING_CENTER_GUIDE_2,为基准决定曝光
CAMMENU_METERING_MULTI_GUIDE,对画面全体实现均衡的曝光
CAMMENU_METERING_MULTI_GUIDE_2,
CAMMENU_METERING_SPOT_GUIDE,以画面中央一点的亮度
CAMMENU_METERING_SPOT_GUIDE_2,为基准决定曝光
CAMMENU_MINUS,－
CAMMENU_MULTI,多重测光
CAMMENU_MULTIAF,多重AF
CAMMENU_NORMAL_CAP,普通
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,拍摄模式
CAMMENU_RECOGNITION,场景识别
CAMMENU_RECOGNITION_ADV_GUIDE,在夜景或背光条件下
CAMMENU_RECOGNITION_ADV_GUIDE2,在夜景或背光条件下
CAMMENU_RECOGNITION_ADV_GUIDE2_2,自动多拍摄一张
CAMMENU_RECOGNITION_ADV_GUIDE_2,自动多拍摄一张
CAMMENU_RECOGNITION_AUTO2_GUIDE,以适合场景的最佳设置
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,进行拍摄
CAMMENU_RECOGNITION_AUTO_GUIDE,在夜景或背光条件下
CAMMENU_RECOGNITION_AUTO_GUIDE_2,以最佳设置进行拍摄
CAMMENU_RECOGNITION_OFF_GUIDE,关闭场景识别
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,红眼减弱
CAMMENU_REDEYE_FACE_GUIDE,使用人脸检测功能时
CAMMENU_REDEYE_FACE_GUIDE_2,自动减弱红眼现象
CAMMENU_REDEYE_OFF_GUIDE,红眼减弱功能关闭
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,使用闪光灯拍摄时，通过
CAMMENU_REDEYE_ON_GUIDE_2,预闪光减弱红眼现象
CAMMENU_REMAIN_NUMBER,概算影像容量
CAMMENU_REMAIN_TIME,剩余拍摄时间
CAMMENU_SATURATION_DOWN_GUIDE,以低色彩饱和度
CAMMENU_SATURATION_DOWN_GUIDE_2,拍摄影像
CAMMENU_SATURATION_NORMAL_GUIDE,将色彩饱和度
CAMMENU_SATURATION_NORMAL_GUIDE_2,设定为标准
CAMMENU_SATURATION_UP_GUIDE,以高色彩饱和度
CAMMENU_SATURATION_UP_GUIDE_2,拍摄影像
CAMMENU_SELFTIMER,自拍
CAMMENU_SELFTIMER_10SEC,自拍10秒
CAMMENU_SELFTIMER_2SEC,自拍2秒
CAMMENU_SELFTIMER_OFF,自拍关
CAMMENU_SETUP,设置
CAMMENU_SETUP_CHANGE_GUIDE,进入拍摄设置
CAMMENU_SETUP_CHANGE_GUIDE_2,显示
CAMMENU_SHOOTING,拍摄
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,适于打印最大A3＋
CAMMENU_SIZE_12M_GUIDE_2,尺寸的影像
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,适于在高清电视机上观看
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,适于在高清电视机上观看和
CAMMENU_SIZE_16_9_A3_GUIDE_2,打印最大A3尺寸的影像
CAMMENU_SIZE_16_9_A4_GUIDE,适于在高清电视机上观看和
CAMMENU_SIZE_16_9_A4_GUIDE_2,打印最大A4尺寸的影像
CAMMENU_SIZE_16_9_GUIDE,以高清电视机的纵横比拍摄
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,以适于电子邮件附件的
CAMMENU_SIZE_320_GUIDE_2,小尺寸拍摄影像
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,适于打印最大10x15厘米
CAMMENU_SIZE_3M_GUIDE_2,或13x18厘米的影像
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,以3:2纵横比拍摄影像
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,适于打印最大A4尺寸的影像
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(精细)
CAMMENU_SIZE_640FINE_GUIDE,拍摄适合在电视机上回放的
CAMMENU_SIZE_640FINE_GUIDE_2,高品质动态影像
CAMMENU_SIZE_640STD,640(标准)
CAMMENU_SIZE_640STD_GUIDE,拍摄适合在电视机上回放的
CAMMENU_SIZE_640STD_GUIDE_2,标准动态影像
CAMMENU_SIZE_8M_GUIDE,适于打印最大A3尺寸的影像
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,以适于电子邮件附件的
CAMMENU_SIZE_VGA_GUIDE_2,小尺寸拍摄影像
CAMMENU_SMILE,笑脸检测
CAMMENU_SMILESHUTTER_HIGH_GUIDE,以高灵敏度的
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,笑脸检测拍摄
CAMMENU_SMILESHUTTER_LOW_GUIDE,以低灵敏度的
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,笑脸检测拍摄
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,以标准灵敏度的
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,笑脸检测拍摄
CAMMENU_SMILE_DETECTION,笑脸检测灵敏度
CAMMENU_SPOT,定点测光
CAMMENU_SPOTAF,定点AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,始终开启SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot关闭
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,半按下快门按钮时
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,开启SteadyShot
CAMMENU_TOUCH,被点击时
CAMMENU_WATERWB,水中白平衡
CAMMENU_WATERWB_AUTO_GUIDE,自动调节水中拍摄
CAMMENU_WATERWB_AUTO_GUIDE_2,时的白平衡
CAMMENU_WATERWB_FLASH_GUIDE,用于使用闪光灯
CAMMENU_WATERWB_FLASH_GUIDE_2,在水中拍摄
CAMMENU_WATERWB_WATER1,水中1
CAMMENU_WATERWB_WATER1_GUIDE,在蓝色的水中
CAMMENU_WATERWB_WATER1_GUIDE_2,拍摄时使用
CAMMENU_WATERWB_WATER2,水中2
CAMMENU_WATERWB_WATER2_GUIDE,在绿色的水中
CAMMENU_WATERWB_WATER2_GUIDE_2,拍摄时使用
CAMMENU_WB2,白平衡
CAMMENU_WB_AUTO_GUIDE,自动调节为自然的色彩
CAMMENU_WB_AUTO_GUIDE_2,
CAMMENU_WB_CLOUDY,多云
CAMMENU_WB_CLOUDY_GUIDE,用于在阴天或阴影下拍摄
CAMMENU_WB_CLOUDY_GUIDE_2,
CAMMENU_WB_DAYLIGHT,日光
CAMMENU_WB_DAYLIGHT_GUIDE,用于拍摄晴朗的户外场景
CAMMENU_WB_DAYLIGHT_GUIDE_2,或夜景
CAMMENU_WB_FLASH,闪光灯
CAMMENU_WB_FLASH_GUIDE,用于使用闪光灯拍摄
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,荧光灯1
CAMMENU_WB_FLUORESCENT1_GUIDE,用于在白色荧光灯下拍摄
CAMMENU_WB_FLUORESCENT1_GUIDE_2,
CAMMENU_WB_FLUORESCENT2,荧光灯2
CAMMENU_WB_FLUORESCENT2_GUIDE,用于在自然白色荧光灯下拍摄
CAMMENU_WB_FLUORESCENT2_GUIDE_2,
CAMMENU_WB_FLUORESCENT3,荧光灯3
CAMMENU_WB_FLUORESCENT3_GUIDE,用于在日光白色荧光灯下拍摄
CAMMENU_WB_FLUORESCENT3_GUIDE_2,
CAMMENU_WB_INCANDESCENT,白炽灯
CAMMENU_WB_INCANDESCENT_GUIDE,用于在白炽灯或摄影灯下拍摄
CAMMENU_WB_INCANDESCENT_GUIDE_2,
CAMMODE_AUTO,自动调节
CAMMODE_AUTO_GUIDE,用于以自动设置拍摄
CAMMODE_AUTO_GUIDE_2,
CAMMODE_BEACH,海滩
CAMMODE_BEACH_GUIDE,以鲜明的蓝色拍摄水滨场景
CAMMODE_BEACH_GUIDE_2,
CAMMODE_COOKING,美食
CAMMODE_COOKING_GUIDE,自然地拍摄食品
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,轻松拍摄
CAMMODE_EASY_GUIDE,以简易的显示进行
CAMMODE_EASY_GUIDE_2,全自动拍摄
CAMMODE_FIREWORKS,烟火
CAMMODE_FIREWORKS_GUIDE,拍摄灿烂的烟花
CAMMODE_FIREWORKS_GUIDE_2,
CAMMODE_HIGHSENSITIVITY,高感光度
CAMMODE_HIGHSENSITIVITY_GUIDE,在低照度条件下拍摄，不使
CAMMODE_HIGHSENSITIVITY_GUIDE_2,用闪光灯并尽量避免模糊
CAMMODE_HIGHSPEEDSHUTTER,高速快门
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,拍摄移动被摄体
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,
CAMMODE_LANDSCAPE,风景
CAMMODE_LANDSCAPE_GUIDE,以远焦距拍摄风景
CAMMODE_LANDSCAPE_GUIDE_2,
CAMMODE_MOVIE,活动影像模式
CAMMODE_MOVIE_GUIDE,记录有声音的活动影像
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,程序自动
CAMMODE_PAUTO_GUIDE,能够调节各种设置的
CAMMODE_PAUTO_GUIDE_2,自动曝光拍摄
CAMMODE_SNOW,雪景
CAMMODE_SNOW_GUIDE,明亮地拍摄偏白的场景
CAMMODE_SNOW_GUIDE_2,
CAMMODE_SOFTSNAP,柔和快照
CAMMODE_SOFTSNAP_GUIDE,以柔和背景拍摄被摄体
CAMMODE_SOFTSNAP_GUIDE_2,
CAMMODE_TWILIGHT,夜景
CAMMODE_TWILIGHTPORTRAIT,夜景人像
CAMMODE_TWILIGHTPORTRAIT_GUIDE,使用闪光灯在低照明条件下
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,拍摄人像
CAMMODE_TWILIGHTTRIPOD_GUIDE,使用三脚架拍摄
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,低照明场景
CAMMODE_WATER,水中
CAMMODE_WATER_GUIDE,使用潜水套装在水中
CAMMODE_WATER_GUIDE_2,以自然的色彩拍摄
CLOCKMENU_APR,APR
CLOCKMENU_AUG,AUG
