CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,Burst
CAMMENU_BURST_BRK03EV_GUIDE,Shoot 3 shots at 0.3 EV apart
CAMMENU_BURST_BRK03EV_GUIDE_2,
CAMMENU_BURST_BRK07EV_GUIDE,Shoot 3 shots at 0.7 EV apart
CAMMENU_BURST_BRK07EV_GUIDE_2,
CAMMENU_BURST_BRK10EV_GUIDE,Shoot 3 shots at 1.0 EV apart
CAMMENU_BURST_BRK10EV_GUIDE_2,
CAMMENU_BURST_OFF_GUIDE,Take a single picture
CAMMENU_BURST_OFF_GUIDE_2,
CAMMENU_BURST_ON_GUIDE,Shoot continuously when
CAMMENU_BURST_ON_GUIDE_2,the shutter button is held
CAMMENU_CENTER,Center
CAMMENU_CENTERAF,Center AF
CAMMENU_CLOSEEYE,Anti Blink
CAMMENU_CLOSEEYE_AUTO_GUIDE,Analysis eyes to avoid Blink
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,
CAMMENU_CLOSEEYE_OFF_GUIDE,Turn off Anti Blink
CAMMENU_CLOSEEYE_OFF_GUIDE_2,
CAMMENU_COLOR,Color Mode
CAMMENU_COLOR_BW,B & W
CAMMENU_COLOR_BW_GUIDE,Make images black and
CAMMENU_COLOR_BW_GUIDE_2,white
CAMMENU_COLOR_NORMAL_GUIDE,Shoot in standard color
CAMMENU_COLOR_NORMAL_GUIDE_2,mode
CAMMENU_COLOR_SEPIA,Sepia
CAMMENU_COLOR_SEPIA_GUIDE,Simulate colors in old photos
CAMMENU_COLOR_SEPIA_GUIDE_2,
CAMMENU_COLOR_VIVID,Vivid
CAMMENU_COLOR_VIVID_GUIDE,Set the image to deep
CAMMENU_COLOR_VIVID_GUIDE_2,and vivid color
CAMMENU_CONTINUOUS,Continuous
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Advanced
CAMMENU_DRO_ADV_GUIDE,Recover shadow detail
CAMMENU_DRO_ADV_GUIDE_2,without losing highlights
CAMMENU_DRO_OFF_GUIDE,No recovery of shadow detail
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Recover image detail lost in
CAMMENU_DRO_STANDARD_GUIDE_2,shadow area
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Adjust image brightness (＋)
CAMMENU_EV_GUIDE2,Adjust image brightness (＋)
CAMMENU_EV_GUIDE2_2,and darkness (－)
CAMMENU_EV_GUIDE_2,and darkness (－)
CAMMENU_FACE,Face Detection
CAMMENU_FACE_ADULT,Adult Priority
CAMMENU_FACE_ADULT_GUIDE,Focus with priority on
CAMMENU_FACE_ADULT_GUIDE_2,adults' faces
CAMMENU_FACE_CHILD,Child Priority
CAMMENU_FACE_CHILD_GUIDE,Focus with priority on
CAMMENU_FACE_CHILD_GUIDE_2,children's faces
CAMMENU_FACE_ON_GUIDE,Set priority to focusing on
CAMMENU_FACE_ON_GUIDE_2,people's faces
CAMMENU_FACE_TOUCH_GUIDE,Activate face detection
CAMMENU_FACE_TOUCH_GUIDE_2,only when a face is touched
CAMMENU_FLASHLEVEL,Flash Level
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Shoot with lower
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,flash intensity
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Shoot with standard
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,flash intensity
CAMMENU_FLASHLEVEL_UP_GUIDE,Shoot with higher
CAMMENU_FLASHLEVEL_UP_GUIDE_2,flash intensity
CAMMENU_FLASH_SYNCHRO,Slow Synchro
CAMMENU_FOCUS,Focus
CAMMENU_FOUCS_10M_GUIDE,Set the focus approx.
CAMMENU_FOUCS_10M_GUIDE_2,1.0 m/3.3 feet away
CAMMENU_FOUCS_30M_GUIDE,Set the focus approx.
CAMMENU_FOUCS_30M_GUIDE_2,3.0 m/10 feet away
CAMMENU_FOUCS_70M_GUIDE,Set the focus approx.
CAMMENU_FOUCS_70M_GUIDE_2,7.0 m/23 feet away
CAMMENU_FOUCS_CENTER_GUIDE,Auto focus on a subject
CAMMENU_FOUCS_CENTER_GUIDE_2,in the center
CAMMENU_FOUCS_INFINITY_GUIDE,Set the focus at
CAMMENU_FOUCS_INFINITY_GUIDE_2,infinite distance
CAMMENU_FOUCS_MANUAL_GUIDE,Manually set the focus
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Auto focus
CAMMENU_FOUCS_MULTI_GUIDE_2,throughout the frame
CAMMENU_FOUCS_SPOT_GUIDE,Auto focus on a central point
CAMMENU_FOUCS_SPOT_GUIDE_2,
CAMMENU_FOUCS_TSPOT_GUIDE,Auto focus by touching
CAMMENU_FOUCS_TSPOT_GUIDE_2,any point on the screen
CAMMENU_IMAGESIZE,Image Size
CAMMENU_IMAGESIZE_L,Large
CAMMENU_IMAGESIZE_S,Small
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Set sensitivity to ISO 100
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,Set sensitivity to ISO 1600
CAMMENU_ISO_1600_GUIDE_2,
CAMMENU_ISO_200_GUIDE,Set sensitivity to ISO 200
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,Set sensitivity to ISO 3200
CAMMENU_ISO_3200_GUIDE_2,
CAMMENU_ISO_400_GUIDE,Set sensitivity to ISO 400
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,Set sensitivity to ISO 64
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,Set sensitivity to ISO 800
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,Set sensitivity to ISO 80
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,Auto adjust sensitivity
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Macro
CAMMENU_MENU,Menu
CAMMENU_METERINGMODE,Metering Mode
CAMMENU_METERING_CENTER_GUIDE,Exposure based on
CAMMENU_METERING_CENTER_GUIDE_2,center brightness
CAMMENU_METERING_MULTI_GUIDE,Exposure based on
CAMMENU_METERING_MULTI_GUIDE_2,the entire frame
CAMMENU_METERING_SPOT_GUIDE,Exposure based on
CAMMENU_METERING_SPOT_GUIDE_2,brightness of a central point
CAMMENU_MINUS,－
CAMMENU_MULTI,Multi
CAMMENU_MULTIAF,Multi AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,REC Mode
CAMMENU_RECOGNITION,Scene Recognition
CAMMENU_RECOGNITION_ADV_GUIDE,Automatically take one more
CAMMENU_RECOGNITION_ADV_GUIDE2,Automatically take one more
CAMMENU_RECOGNITION_ADV_GUIDE2_2,shot in twilight or backlight
CAMMENU_RECOGNITION_ADV_GUIDE_2,shot in twilight or backlight
CAMMENU_RECOGNITION_AUTO2_GUIDE,Shoot with optimal settings
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,for the scene
CAMMENU_RECOGNITION_AUTO_GUIDE,Shoot with optimal settings
CAMMENU_RECOGNITION_AUTO_GUIDE_2,in twilight or backlight
CAMMENU_RECOGNITION_OFF_GUIDE,Turn off Scene Recognition
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Red Eye Reduction
CAMMENU_REDEYE_FACE_GUIDE,Auto red-eye reduction
CAMMENU_REDEYE_FACE_GUIDE_2,when faces are detected
CAMMENU_REDEYE_OFF_GUIDE,Red-eye reduction off
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,Pre-flash to reduce red-eye
CAMMENU_REDEYE_ON_GUIDE_2,when using flash
CAMMENU_REMAIN_NUMBER,Approx. Image Capacity
CAMMENU_REMAIN_TIME,Approx. Remaining Time
CAMMENU_SATURATION_DOWN_GUIDE,Shoot images with lower
CAMMENU_SATURATION_DOWN_GUIDE_2,color saturation
CAMMENU_SATURATION_NORMAL_GUIDE,Set the color saturation to
CAMMENU_SATURATION_NORMAL_GUIDE_2,Normal
CAMMENU_SATURATION_UP_GUIDE,Shoot images with
CAMMENU_SATURATION_UP_GUIDE_2,higher color saturation
CAMMENU_SELFTIMER,Self-Timer
CAMMENU_SELFTIMER_10SEC,Self-Timer 10sec
CAMMENU_SELFTIMER_2SEC,Self-Timer 2sec
CAMMENU_SELFTIMER_OFF,Self-Timer Off
CAMMENU_SETUP,Setup
CAMMENU_SETUP_CHANGE_GUIDE,Go to Shooting Settings
CAMMENU_SETUP_CHANGE_GUIDE_2,Display
CAMMENU_SHOOTING,Shooting
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,For prints up to A3+(13x19")
CAMMENU_SIZE_12M_GUIDE_2,
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,For viewing on HDTVs
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,For viewing on HDTVs and
CAMMENU_SIZE_16_9_A3_GUIDE_2,printing up to A3(11x17")
CAMMENU_SIZE_16_9_A4_GUIDE,For viewing on HDTVs and
CAMMENU_SIZE_16_9_A4_GUIDE_2,printing up to A4(8x10")
CAMMENU_SIZE_16_9_GUIDE,Shoot in HDTV aspect ratio
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,Shoot at small image size
CAMMENU_SIZE_320_GUIDE_2,for e-mail attachments
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,For prints up to 10x15 cm
CAMMENU_SIZE_3M_GUIDE_2,(4x6") or 13x18 cm(5x7")
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,Shoot in 3:2 aspect ratio
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,For prints up to A4(8x10")
CAMMENU_SIZE_5M_GUIDE_2,
CAMMENU_SIZE_640FINE,640(Fine)
CAMMENU_SIZE_640FINE_GUIDE,Shoot high quality movie
CAMMENU_SIZE_640FINE_GUIDE_2,for display on TV
CAMMENU_SIZE_640STD,640(Standard)
CAMMENU_SIZE_640STD_GUIDE,Shoot standard quality movie
CAMMENU_SIZE_640STD_GUIDE_2,for display on TV
CAMMENU_SIZE_8M_GUIDE,For prints up to A3(11x17")
CAMMENU_SIZE_8M_GUIDE_2,
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,Shoot at small image size
CAMMENU_SIZE_VGA_GUIDE_2,for e-mail attachments
CAMMENU_SMILE,Smile Detection
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Shoot with high sensitivity
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,of smile detection
CAMMENU_SMILESHUTTER_LOW_GUIDE,Shoot with low sensitivity
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,of smile detection
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Shoot with standard
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,sensitivity of smile detection
CAMMENU_SMILE_DETECTION,Smile Detection Sensitivity
CAMMENU_SPOT,Spot
CAMMENU_SPOTAF,Spot AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot always on
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot off
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,SteadyShot on when shutter
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,button is halfway pressed
CAMMENU_TOUCH,When touched
CAMMENU_WATERWB,Underwater White Balance
CAMMENU_WATERWB_AUTO_GUIDE,Auto adjust white balance
CAMMENU_WATERWB_AUTO_GUIDE_2,for shooting underwater
CAMMENU_WATERWB_FLASH_GUIDE,Use when shooting
CAMMENU_WATERWB_FLASH_GUIDE_2,underwater using flash
CAMMENU_WATERWB_WATER1,Underwater 1
CAMMENU_WATERWB_WATER1_GUIDE,Use when shooting
CAMMENU_WATERWB_WATER1_GUIDE_2,in blue water
CAMMENU_WATERWB_WATER2,Underwater 2
CAMMENU_WATERWB_WATER2_GUIDE,Use when shooting
CAMMENU_WATERWB_WATER2_GUIDE_2,in green water
CAMMENU_WB2,White Balance
CAMMENU_WB_AUTO_GUIDE,Auto adjust for natural colors
CAMMENU_WB_AUTO_GUIDE_2,
CAMMENU_WB_CLOUDY,Cloudy
CAMMENU_WB_CLOUDY_GUIDE,Use on cloudy days or
CAMMENU_WB_CLOUDY_GUIDE_2,in the shade
CAMMENU_WB_DAYLIGHT,Daylight
CAMMENU_WB_DAYLIGHT_GUIDE,Use for sunny outdoor
CAMMENU_WB_DAYLIGHT_GUIDE_2,scenes or scenery at night
CAMMENU_WB_FLASH,Flash
CAMMENU_WB_FLASH_GUIDE,Use when shooting
CAMMENU_WB_FLASH_GUIDE_2,with flash
CAMMENU_WB_FLUORESCENT1,Fluorescent Light 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Use under white
CAMMENU_WB_FLUORESCENT1_GUIDE_2,fluorescent light
CAMMENU_WB_FLUORESCENT2,Fluorescent Light 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Use under natural white
CAMMENU_WB_FLUORESCENT2_GUIDE_2,fluorescent light
CAMMENU_WB_FLUORESCENT3,Fluorescent Light 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Use under day white
CAMMENU_WB_FLUORESCENT3_GUIDE_2,fluorescent light
CAMMENU_WB_INCANDESCENT,Incandescent
CAMMENU_WB_INCANDESCENT_GUIDE,Use under incandescent
CAMMENU_WB_INCANDESCENT_GUIDE_2,light or video lights
CAMMODE_AUTO,Auto Adjustment
CAMMODE_AUTO_GUIDE,For shooting with
CAMMODE_AUTO_GUIDE_2,automatic settings
CAMMODE_BEACH,Beach
CAMMODE_BEACH_GUIDE,Shoot waterside scene
CAMMODE_BEACH_GUIDE_2,with rich blue color
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Natural shot of food
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Easy Shooting
CAMMODE_EASY_GUIDE,Fully automatic shooting
CAMMODE_EASY_GUIDE_2,with simplified display
CAMMODE_FIREWORKS,Fireworks
CAMMODE_FIREWORKS_GUIDE,Shoot fireworks scene
CAMMODE_FIREWORKS_GUIDE_2,
CAMMODE_HIGHSENSITIVITY,High Sensitivity
CAMMODE_HIGHSENSITIVITY_GUIDE,Shoot without flash in
CAMMODE_HIGHSENSITIVITY_GUIDE_2,low-light reducing blur
CAMMODE_HIGHSPEEDSHUTTER,Hi-Speed Shutter
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Capture fast moving subject
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,
CAMMODE_LANDSCAPE,Landscape
CAMMODE_LANDSCAPE_GUIDE,Shoot landscapes
CAMMODE_LANDSCAPE_GUIDE_2,with distant focus
CAMMODE_MOVIE,Movie Mode
CAMMODE_MOVIE_GUIDE,Shoot movies with audio
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Program Auto
CAMMODE_PAUTO_GUIDE,Auto exposure with
CAMMODE_PAUTO_GUIDE_2,adjustable settings
CAMMODE_SNOW,Snow
CAMMODE_SNOW_GUIDE,Shoot whitish scene with
CAMMODE_SNOW_GUIDE_2,high brightness
CAMMODE_SOFTSNAP,Soft Snap
CAMMODE_SOFTSNAP_GUIDE,Shoot subject with
CAMMODE_SOFTSNAP_GUIDE_2,soft background
CAMMODE_TWILIGHT,Twilight
CAMMODE_TWILIGHTPORTRAIT,Twilight Portrait
CAMMODE_TWILIGHTPORTRAIT_GUIDE,Shoot portraits in
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,low light with flash
CAMMODE_TWILIGHTTRIPOD_GUIDE,Shoot low light scene
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,using a tripod
CAMMODE_WATER,Underwater
CAMMODE_WATER_GUIDE,Shoot underwater in natural
CAMMODE_WATER_GUIDE_2,colors with Housing
CLOCKMENU_APR,APR
CLOCKMENU_AUG,AUG
CLOCKMENU_DEC,DEC
CLOCKMENU_DMY,D-M-Y
CLOCKMENU_FEB,FEB
CLOCKMENU_JAN,JAN
CLOCKMENU_JUL,JUL
CLOCKMENU_JUN,JUN
