CAMMENU_0EV,0EV
CAMMENU_100,100
CAMMENU_10M,1.0 m
CAMMENU_1600,1600
CAMMENU_200,200
CAMMENU_30M,3.0 m
CAMMENU_3200,3200
CAMMENU_400,400
CAMMENU_70M,7.0 m
CAMMENU_80,80
CAMMENU_800,800
CAMMENU_BRK_03EV,BRK±0.3EV
CAMMENU_BRK_07EV,BRK±0.7EV
CAMMENU_BRK_10EV,BRK±1.0EV
CAMMENU_BURST,Seri Çekim
CAMMENU_BURST_BRK03EV_GUIDE,0,3 EV aralıkla 3 çekim yap
CAMMENU_BURST_BRK03EV_GUIDE_2,
CAMMENU_BURST_BRK07EV_GUIDE,0,7 EV aralıkla 3 çekim yap
CAMMENU_BURST_BRK07EV_GUIDE_2,
CAMMENU_BURST_BRK10EV_GUIDE,1,0 EV aralıkla 3 çekim yap
CAMMENU_BURST_BRK10EV_GUIDE_2,
CAMMENU_BURST_OFF_GUIDE,Deklanşöre her basışta
CAMMENU_BURST_OFF_GUIDE_2,tek çekim yap
CAMMENU_BURST_ON_GUIDE,Deklanşör basılıyken
CAMMENU_BURST_ON_GUIDE_2,sürekli çek
CAMMENU_CENTER,Merkez
CAMMENU_CENTERAF,Orta AF
CAMMENU_CLOSEEYE,Kapalı Göz Giderme
CAMMENU_CLOSEEYE_AUTO_GUIDE,Kapalı gözü önlemek için
CAMMENU_CLOSEEYE_AUTO_GUIDE_2,analiz yapar
CAMMENU_CLOSEEYE_OFF_GUIDE,Kapalı Göz Giderme
CAMMENU_CLOSEEYE_OFF_GUIDE_2,İşlevini Kapat
CAMMENU_COLOR,Renk Modu
CAMMENU_COLOR_BW,Siyah Beyaz
CAMMENU_COLOR_BW_GUIDE,Görüntüleri Siyah Beyaz yap
CAMMENU_COLOR_BW_GUIDE_2,
CAMMENU_COLOR_NORMAL_GUIDE,Standart renk modunda çek
CAMMENU_COLOR_NORMAL_GUIDE_2,
CAMMENU_COLOR_SEPIA,Sepya
CAMMENU_COLOR_SEPIA_GUIDE,Eski fotoğrafların
CAMMENU_COLOR_SEPIA_GUIDE_2,rengine benzet
CAMMENU_COLOR_VIVID,Canlı
CAMMENU_COLOR_VIVID_GUIDE,Grntüyü derin ve canlı
CAMMENU_COLOR_VIVID_GUIDE_2,renge ayarla
CAMMENU_CONTINUOUS,Sürekli
CAMMENU_DRO,DRO
CAMMENU_DRO_ADV,Gelişmiş
CAMMENU_DRO_ADV_GUIDE,Aydınlatmaları kaybetmeden
CAMMENU_DRO_ADV_GUIDE_2,gölge ayrıntısını kurtar
CAMMENU_DRO_OFF_GUIDE,Gölge ayrıntısı kurtarma yok
CAMMENU_DRO_OFF_GUIDE_2,
CAMMENU_DRO_PLUS,DRO plus
CAMMENU_DRO_STANDARD_GUIDE,Gölge alanında kaybolmuş
CAMMENU_DRO_STANDARD_GUIDE_2,görüntü ayrıntısını kurtar
CAMMENU_DRO_STD,DRO standard
CAMMENU_EV,EV
CAMMENU_EV2,EV
CAMMENU_EV_GUIDE,Grntü parlaklığını (＋) ve
CAMMENU_EV_GUIDE2,Grntü parlaklığını (＋) ve
CAMMENU_EV_GUIDE2_2,koyuluğunu (－) ayarla
CAMMENU_EV_GUIDE_2,koyuluğunu (－) ayarla
CAMMENU_FACE,Yüz Algılama
CAMMENU_FACE_ADULT,Yetişkin Önceliği
CAMMENU_FACE_ADULT_GUIDE,Öncelikle yetişkin yüzlerine
CAMMENU_FACE_ADULT_GUIDE_2,odaklan
CAMMENU_FACE_CHILD,Çocuk Önceliği
CAMMENU_FACE_CHILD_GUIDE,Öncelikle çocuk yüzlerine
CAMMENU_FACE_CHILD_GUIDE_2,odaklan
CAMMENU_FACE_ON_GUIDE,İnsan yüzlerine odaklanmada
CAMMENU_FACE_ON_GUIDE_2,öncelik belirler
CAMMENU_FACE_TOUCH_GUIDE,Ancak bir yüze dokunulursa
CAMMENU_FACE_TOUCH_GUIDE_2,yüz algılama etkinleşir
CAMMENU_FLASHLEVEL,Flaş düzeyi
CAMMENU_FLASHLEVEL_DOWN_GUIDE,Düşük flaş yoğunluğuyla
CAMMENU_FLASHLEVEL_DOWN_GUIDE_2,çekim yap
CAMMENU_FLASHLEVEL_NORMAL_GUIDE,Standart flaş yoğunluğuyla
CAMMENU_FLASHLEVEL_NORMAL_GUIDE_2,çekim yap
CAMMENU_FLASHLEVEL_UP_GUIDE,Yüksek flaş yoğunluğuyla
CAMMENU_FLASHLEVEL_UP_GUIDE_2,çekim yap
CAMMENU_FLASH_SYNCHRO,Yavaş Senkro
CAMMENU_FOCUS,Odak
CAMMENU_FOUCS_10M_GUIDE,Odağı yaklaşık 1,0 m
CAMMENU_FOUCS_10M_GUIDE_2,uzağa ayarla
CAMMENU_FOUCS_30M_GUIDE,Odağı yaklaşık 3,0 m
CAMMENU_FOUCS_30M_GUIDE_2,uzağa ayarla
CAMMENU_FOUCS_70M_GUIDE,Odağı yaklaşık 7,0 m
CAMMENU_FOUCS_70M_GUIDE_2,uzağa ayarla
CAMMENU_FOUCS_CENTER_GUIDE,Merkezdeki bir özneye
CAMMENU_FOUCS_CENTER_GUIDE_2,otomatik odaklan
CAMMENU_FOUCS_INFINITY_GUIDE,Odağı sınırsız bir
CAMMENU_FOUCS_INFINITY_GUIDE_2,mesafeye ayarla
CAMMENU_FOUCS_MANUAL_GUIDE,Odağı elle ayarla
CAMMENU_FOUCS_MANUAL_GUIDE_2,
CAMMENU_FOUCS_MULTI_GUIDE,Çerçevenin tamamına
CAMMENU_FOUCS_MULTI_GUIDE_2,otomatik odaklan
CAMMENU_FOUCS_SPOT_GUIDE,Merkezdeki bir noktaya
CAMMENU_FOUCS_SPOT_GUIDE_2,otomatik odaklan
CAMMENU_FOUCS_TSPOT_GUIDE,Ekranda dokunulan bir
CAMMENU_FOUCS_TSPOT_GUIDE_2,noktaya otomatik odaklanma
CAMMENU_IMAGESIZE,Grntü boyu
CAMMENU_IMAGESIZE_L,Büyük
CAMMENU_IMAGESIZE_S,Küçük
CAMMENU_INFINITY,∞
CAMMENU_ISO,ISO
CAMMENU_ISO_100_GUIDE,Hassaslığı ISO 100'e ayarla
CAMMENU_ISO_100_GUIDE_2,
CAMMENU_ISO_1600_GUIDE,Hassaslığı ISO 1600'e ayarla
CAMMENU_ISO_1600_GUIDE_2,
CAMMENU_ISO_200_GUIDE,Hassaslığı ISO 200'e ayarla
CAMMENU_ISO_200_GUIDE_2,
CAMMENU_ISO_3200_GUIDE,Hassaslığı ISO 3200'e ayarla
CAMMENU_ISO_3200_GUIDE_2,
CAMMENU_ISO_400_GUIDE,Hassaslığı ISO 400'e ayarla
CAMMENU_ISO_400_GUIDE_2,
CAMMENU_ISO_64_GUIDE,Hassaslığı ISO 64'e ayarla
CAMMENU_ISO_64_GUIDE_2,
CAMMENU_ISO_800_GUIDE,Hassaslığı ISO 800'e ayarla
CAMMENU_ISO_800_GUIDE_2,
CAMMENU_ISO_80_GUIDE,Hassaslığı ISO 80'e ayarla
CAMMENU_ISO_80_GUIDE_2,
CAMMENU_ISO_AUTO_GUIDE,Hassaslığı otomatik ayarla
CAMMENU_ISO_AUTO_GUIDE_2,
CAMMENU_M03EV,-0.3EV
CAMMENU_M07EV,-0.7EV
CAMMENU_M10EV,-1.0EV
CAMMENU_M13EV,-1.3EV
CAMMENU_M17EV,-1.7EV
CAMMENU_M20EV,-2.0EV
CAMMENU_MACRO,Makro
CAMMENU_MENU,Menü
CAMMENU_METERINGMODE,Metraj modu
CAMMENU_METERING_CENTER_GUIDE,Merkez parlaklığına göre
CAMMENU_METERING_CENTER_GUIDE_2,pozlandırma
CAMMENU_METERING_MULTI_GUIDE,Çerçeve boyunca dengeli
CAMMENU_METERING_MULTI_GUIDE_2,pozlandırma
CAMMENU_METERING_SPOT_GUIDE,Merkezi bir nokta parlaklığına
CAMMENU_METERING_SPOT_GUIDE_2,göre pozlandırma
CAMMENU_MINUS,－
CAMMENU_MULTI,Çoklu
CAMMENU_MULTIAF,Çoklu AF
CAMMENU_NORMAL_CAP,Normal
CAMMENU_P03EV,+0.3EV
CAMMENU_P07EV,+0.7EV
CAMMENU_P10EV,+1.0EV
CAMMENU_P13EV,+1.3EV
CAMMENU_P17EV,+1.7EV
CAMMENU_P20EV,+2.0EV
CAMMENU_PLUS,＋
CAMMENU_RECMODE,KAYIT modu
CAMMENU_RECOGNITION,Sahne Tanıma
CAMMENU_RECOGNITION_ADV_GUIDE,Alacakaranlık veya arka ışıkta
CAMMENU_RECOGNITION_ADV_GUIDE2,Alacakaranlık veya arka ışıkta
CAMMENU_RECOGNITION_ADV_GUIDE2_2,otomat. bir fazla çekim yapar
CAMMENU_RECOGNITION_ADV_GUIDE_2,otomat. bir fazla çekim yapar
CAMMENU_RECOGNITION_AUTO2_GUIDE,Sahne için en iyi ayarlarla
CAMMENU_RECOGNITION_AUTO2_GUIDE_2,çekim yap
CAMMENU_RECOGNITION_AUTO_GUIDE,Alacakaranlık veya arka ışıkta
CAMMENU_RECOGNITION_AUTO_GUIDE_2,en iyi ayarlarla çekim
CAMMENU_RECOGNITION_OFF_GUIDE,Sahne Tanımayı Kapatın
CAMMENU_RECOGNITION_OFF_GUIDE_2,
CAMMENU_REDEYEREDUCTION,Kırmızı Göz Giderme
CAMMENU_REDEYE_FACE_GUIDE,Yüzler algılanınca
CAMMENU_REDEYE_FACE_GUIDE_2,otomatik kırmızı göz giderme
CAMMENU_REDEYE_OFF_GUIDE,Kırmızı göz giderme kapalı
CAMMENU_REDEYE_OFF_GUIDE_2,
CAMMENU_REDEYE_ON_GUIDE,Flaş kullanırken kırmızı göz
CAMMENU_REDEYE_ON_GUIDE_2,gidermek için ön flaş
CAMMENU_REMAIN_NUMBER,Yaklaşık Grntü Hacmi
CAMMENU_REMAIN_TIME,Yaklaşık kalan süre
CAMMENU_SATURATION_DOWN_GUIDE,Düşük renk doygunluğuyla
CAMMENU_SATURATION_DOWN_GUIDE_2,görüntü çek
CAMMENU_SATURATION_NORMAL_GUIDE,Renk doygunluğunu
CAMMENU_SATURATION_NORMAL_GUIDE_2,Normale ayarla
CAMMENU_SATURATION_UP_GUIDE,Yüksek renk doygunluğuyla
CAMMENU_SATURATION_UP_GUIDE_2,görüntü çek
CAMMENU_SELFTIMER,Zamanlayıcı
CAMMENU_SELFTIMER_10SEC,Zamanlayıcı 10 sn
CAMMENU_SELFTIMER_2SEC,Zamanlayıcı 2 sn
CAMMENU_SELFTIMER_OFF,Zamanlayıcı Kapalı
CAMMENU_SETUP,Ayar
CAMMENU_SETUP_CHANGE_GUIDE,Çekim Ayarı
CAMMENU_SETUP_CHANGE_GUIDE_2,Ekranına Git
CAMMENU_SHOOTING,Çekim
CAMMENU_SIZE_10MEG,10M
CAMMENU_SIZE_12M_GUIDE,A3+ boyuna kadar
CAMMENU_SIZE_12M_GUIDE_2,baskılar için
CAMMENU_SIZE_16_9,16:9
CAMMENU_SIZE_16_9_2MEG_GUIDE,HDTV'de izlemek için
CAMMENU_SIZE_16_9_2MEG_GUIDE_2,
CAMMENU_SIZE_16_9_A3_GUIDE,HDTV'de izlemek ve en çok
CAMMENU_SIZE_16_9_A3_GUIDE_2,A3(11x17") baskı için
CAMMENU_SIZE_16_9_A4_GUIDE,HDTV'de izlemek ve en çok
CAMMENU_SIZE_16_9_A4_GUIDE_2,A4(8x10") baskı için
CAMMENU_SIZE_16_9_GUIDE,HDTV görünüm oranında çek
CAMMENU_SIZE_16_9_GUIDE_2,
CAMMENU_SIZE_320,320
CAMMENU_SIZE_320_GUIDE,E-postaya eklemek için
CAMMENU_SIZE_320_GUIDE_2,küçük bir boyda çek
CAMMENU_SIZE_3MEG,3M
CAMMENU_SIZE_3M_GUIDE,10x15 cm veya 13x18 cm'ye
CAMMENU_SIZE_3M_GUIDE_2,kadar baskılar için
CAMMENU_SIZE_3_2_8MEG,3:2(8M)
CAMMENU_SIZE_3_2_GUIDE,3:2 görünüm oranında çek
CAMMENU_SIZE_3_2_GUIDE_2,
CAMMENU_SIZE_4_3,4:3
CAMMENU_SIZE_5MEG,5M
CAMMENU_SIZE_5M_GUIDE,A4 boyuna kadar
CAMMENU_SIZE_5M_GUIDE_2,baskılar için
CAMMENU_SIZE_640FINE,640(Fine)
CAMMENU_SIZE_640FINE_GUIDE,TV'de gösterim için
CAMMENU_SIZE_640FINE_GUIDE_2,yüksek kaliteli film çek
CAMMENU_SIZE_640STD,640(Standart)
CAMMENU_SIZE_640STD_GUIDE,TV'de gösterim için
CAMMENU_SIZE_640STD_GUIDE_2,Standart kaliteli film çek
CAMMENU_SIZE_8M_GUIDE,A3 boyuna kadar
CAMMENU_SIZE_8M_GUIDE_2,baskılar için
CAMMENU_SIZE_HD_2MEG,16:9(2M)
CAMMENU_SIZE_HD_7MEG,16:9(7M)
CAMMENU_SIZE_HD_VGA,16:9(VGA)
CAMMENU_SIZE_VGA,VGA
CAMMENU_SIZE_VGA_GUIDE,E-postaya eklemek için
CAMMENU_SIZE_VGA_GUIDE_2,küçük bir grntü boyunda çek
CAMMENU_SMILE,Gülümseme Algılama
CAMMENU_SMILESHUTTER_HIGH_GUIDE,Yüksek hassasiyetli
CAMMENU_SMILESHUTTER_HIGH_GUIDE_2,gülümseme algılamayla çek
CAMMENU_SMILESHUTTER_LOW_GUIDE,Düşük hassasiyetli
CAMMENU_SMILESHUTTER_LOW_GUIDE_2,gülümseme algılamayla çek
CAMMENU_SMILESHUTTER_NORMAL_GUIDE,Standart hassasiyetli
CAMMENU_SMILESHUTTER_NORMAL_GUIDE_2,gülümseme algılamayla çek
CAMMENU_SMILE_DETECTION,Gülüms. Algı Hassaslığı
CAMMENU_SPOT,Nokta
CAMMENU_SPOTAF,Nokta AF
CAMMENU_STEADYSHOT,SteadyShot
CAMMENU_STEADYSHOT_CONT_GUIDE,SteadyShot daima açık
CAMMENU_STEADYSHOT_CONT_GUIDE_2,
CAMMENU_STEADYSHOT_OFF_GUIDE,SteadyShot Kapalı
CAMMENU_STEADYSHOT_OFF_GUIDE_2,
CAMMENU_STEADYSHOT_SHOOT_GUIDE,Deklanşöre yarıya kadar
CAMMENU_STEADYSHOT_SHOOT_GUIDE_2,basılınca SteadyShot açılır
CAMMENU_TOUCH,Dokununca
CAMMENU_WATERWB,Sualtı Beyaz Dengesi
CAMMENU_WATERWB_AUTO_GUIDE,Sualtı çekimi için beyaz
CAMMENU_WATERWB_AUTO_GUIDE_2,dengesini otomatik ayarla
CAMMENU_WATERWB_FLASH_GUIDE,Flaşlı sualtı çekimi
CAMMENU_WATERWB_FLASH_GUIDE_2,yaparken kullan
CAMMENU_WATERWB_WATER1,Sualtı 1
CAMMENU_WATERWB_WATER1_GUIDE,Mavi suda çekim
CAMMENU_WATERWB_WATER1_GUIDE_2,yaparken kullan
CAMMENU_WATERWB_WATER2,Sualtı 2
CAMMENU_WATERWB_WATER2_GUIDE,Yeşil suda çekim
CAMMENU_WATERWB_WATER2_GUIDE_2,yaparken kullan
CAMMENU_WB2,Beyaz Dengesi
CAMMENU_WB_AUTO_GUIDE,Doğal renkler için
CAMMENU_WB_AUTO_GUIDE_2,otomatik ayarla
CAMMENU_WB_CLOUDY,Bulutlu
CAMMENU_WB_CLOUDY_GUIDE,Bulutlu günlerde veya
CAMMENU_WB_CLOUDY_GUIDE_2,gölgede kullan
CAMMENU_WB_DAYLIGHT,Gün Işığı
CAMMENU_WB_DAYLIGHT_GUIDE,Güneşli açık hava veya gece
CAMMENU_WB_DAYLIGHT_GUIDE_2,manzaralarında kullan
CAMMENU_WB_FLASH,Flaş
CAMMENU_WB_FLASH_GUIDE,Flaşlı çekim yaparken kullan
CAMMENU_WB_FLASH_GUIDE_2,
CAMMENU_WB_FLUORESCENT1,Floresan Işık 1
CAMMENU_WB_FLUORESCENT1_GUIDE,Beyaz floresan ışığı
CAMMENU_WB_FLUORESCENT1_GUIDE_2,altında kullan
CAMMENU_WB_FLUORESCENT2,Floresan Işık 2
CAMMENU_WB_FLUORESCENT2_GUIDE,Doğal beyaz floresan ışığı
CAMMENU_WB_FLUORESCENT2_GUIDE_2,altında kullan
CAMMENU_WB_FLUORESCENT3,Floresan Işık 3
CAMMENU_WB_FLUORESCENT3_GUIDE,Günışığı beyazı floresan ışığı
CAMMENU_WB_FLUORESCENT3_GUIDE_2,altında kullan
CAMMENU_WB_INCANDESCENT,Ampul
CAMMENU_WB_INCANDESCENT_GUIDE,Ampul veya video ışıkları
CAMMENU_WB_INCANDESCENT_GUIDE_2,altında kullan
CAMMODE_AUTO,Otomatik Ayarlama
CAMMODE_AUTO_GUIDE,Otomatik ayarlarla çekim için
CAMMODE_AUTO_GUIDE_2,
CAMMODE_BEACH,Plaj
CAMMODE_BEACH_GUIDE,Zengin mavi renkle
CAMMODE_BEACH_GUIDE_2,deniz kenarı manzarası çek
CAMMODE_COOKING,Gurme
CAMMODE_COOKING_GUIDE,Yiyecekleri doğal
CAMMODE_COOKING_GUIDE_2,görünümleriyle çekin
CAMMODE_EASY,Kolay Çekim
CAMMODE_EASY_GUIDE,Basitleştirilmiş ekranla
CAMMODE_EASY_GUIDE_2,tam otomatik çekim
CAMMODE_FIREWORKS,Havai fişekler
CAMMODE_FIREWORKS_GUIDE,Tüm görkemiyle
CAMMODE_FIREWORKS_GUIDE_2,havai fişekleri çek
CAMMODE_HIGHSENSITIVITY,Yüksek Hassasiyet
CAMMODE_HIGHSENSITIVITY_GUIDE,Bulanıklığı azaltarak, düşük
CAMMODE_HIGHSENSITIVITY_GUIDE_2,ışıkta flaşsız çek
CAMMODE_HIGHSPEEDSHUTTER,Yüksek Hızlı Deklanşör
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Duruncaya kadar
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,hareketli özne çek
